vardekod,vardebenamning
01,Stockholm
0114,Upplands Väsby
011401,Ed
011402,Hammarby
011403,Fresta
0115,Vallentuna
011501,Vallentuna
011507,Össeby
0117,Österåker
011702,Österåker-Östra Ryd
011703,Ljusterö-Kulla
0120,Värmdö
012001,Värmdö
012003,"Djurö, Möja och Nämdö"
012006,Gustavsberg-Ingarö
0123,Järfälla
012304,Järfälla
0125,Ekerö
012501,Adelsö-Munsö
012503,Ekerö
012504,Lovö
012509,Färingsö
0126,Huddinge
012601,Huddinge
012602,Trångsund-Skogås
012603,S:t Mikael
012604,Flemingsberg
0127,Botkyrka
012701,Botkyrka
012702,Grödinge
0128,Salem
012801,Salem
0136,Haninge
013601,Österhaninge
013605,Dalarö-Ornö-Utö
013606,Västerhaninge-Muskö
0138,Tyresö
013801,Tyresö
0139,Upplands-Bro
013901,Bro
013903,Kungsängen-Västra Ryd
0140,Nykvarn
014001,Turinge-Taxinge
0160,Täby
016001,Täby
0162,Danderyd
016201,Danderyd
0163,Sollentuna
016301,Sollentuna
0180,Stockholm
018001,Stockholms domkyrkoförs.
018004,S:t Johannes
018005,Adolf Fredrik
018006,Gustav Vasa
018007,S:t Matteus
018009,Engelbrekt
018010,Hedvig Eleonora
018011,Oscar
018013,Maria Magdalena
018014,Högalid
018015,Katarina
018017,Sofia
018019,Västermalm
018021,Brännkyrka
018023,Vantör
018025,Farsta
018027,Bromma
018029,Västerled
018031,Vällingby
018034,Enskede-Årsta
018036,Skarpnäck
018038,Hässelby
018039,Hägersten
018040,Skärholmen
018041,Spånga-Kista
018090,Hovförsamlingen
018092,Tyska S:ta Gertrud
018093,Finska
0181,Södertälje
018101,Södertälje
018102,Östertälje
018104,Enhörna
018106,Vårdinge
018107,Överjärna
018108,Ytterjärna
018110,Hölö-Mörkö
0182,Nacka
018201,Nacka
018202,Saltsjöbaden
018203,Boo
0183,Sundbyberg
018301,Sundbyberg
0184,Solna
018401,Solna
0186,Lidingö
018601,Lidingö
0187,Vaxholm
018701,Vaxholm
0188,Norrtälje
018801,Norrtälje-Malsta
018803,Väddö
018805,Häverö-Edebo
018808,Edsbro-Ununge
018809,Fasterna
018810,Rimbo
018812,"Husby, Skederid och Rö"
018814,Gottröra
018815,Närtuna
018817,Lohärad
018818,Estuna och Söderby-Karl
018820,Roslagsbro-Vätö
018822,Rådmansö
018823,Frötuna
018824,Blidö
018825,Länna
018826,Riala
0191,Sigtuna
019101,Sigtuna
019106,Husby-Ärlinghundra
019108,Norrsunda
019109,Skepptuna
019112,Valsta
0192,Nynäshamn
019201,Nynäshamn
019202,Sorunda
019204,Ösmo-Torö
03,Uppsala
0305,Håbo
030501,Kalmar-Yttergran
030503,Övergran
030504,Häggeby
030505,Skokloster
0319,Älvkarleby
031902,Älvkarleby-Skutskär
0330,Knivsta
033001,Knivsta
033002,Östuna
033003,Husby-Långhundra
033004,Lagga
033005,Alsike
033006,Vassunda
0331,Heby
033101,Västerlövsta
033102,Huddunge
033103,Enåker
033104,Vittinge
033105,Nora
033106,Östervåla
033107,Harbo
0360,Tierp
036001,Tolfta
036003,Vendel-Tegelsmora
036005,Tierp-Söderfors
036007,Västland
036008,Hållnäs-Österlövsta
0380,Uppsala
038001,Uppsala domkyrkoförs.
038002,Helga Trefaldighet
038003,Gamla Uppsala
038004,Vaksala
038005,Danmark-Funbo
038007,Hagby
038008,Ramsta
038009,Balingsta
038010,Västeråker
038011,Dalby
038012,Uppsala-Näs
038014,Norra Hagunda
038021,Bälingebygden
038022,Skuttunge
038023,Tensta
038024,Lena
038025,Ärentuna
038026,Björklinge
038027,Viksta
038028,Knutby-Bladåker
038030,Faringe
038031,Almunge
038038,Gottsunda
038039,Stavby
038040,Tuna
038041,Rasbo-Rasbokil
0381,Enköping
038101,Enköping
038105,Tillinge och Södra Åsunda
038107,Sparrsätra-Bred
038111,Boglösa
038114,Veckholm
038117,Villberga
038130,Lagunda
038131,Fjärdhundra
0382,Östhammar
038204,Frösåker
038207,Öregrund-Gräsö
038209,Alunda
038210,Ekeby
038211,Skäfthammar-Hökhuvud
038213,Dannemorabygden
04,Södermanland
0428,Vingåker
042801,Västra Vingåker
042802,Österåker
0461,Gnesta
046101,Frustuna
046104,Daga
