code,label,label_en,parent_code,valid_from,valid_to
A,"Jordbruk, skogsbruk och fiske","AGRICULTURE, FORESTRY AND FISHING",,,
B,Utvinning av mineral,MINING AND QUARRYING,,,
C,Tillverkning,MANUFACTURING,,,
D,"Försörjning av el, gas, värme och kyla","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,
E,"Vattenförsörjning; avloppsrening, avfallshantering och sanering","WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",,,
F,Byggverksamhet,CONSTRUCTION,,,
G,Handel,WHOLESALE AND RETAIL TRADE,,,
H,Transport och magasinering,TRANSPORTATION AND STORAGE,,,
I,Hotell- och restaurangverksamhet,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,
J,"Förlagsverksamhet, Radio- och TV-sändning samt produktion och distribution av medieinnehåll","PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",,,
K,"Telekommunikation, dataprogrammering, datakonsultverksamhet, datainfrastruktur och annan informationsverksamhet","TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",,,
L,Finansiell verksamhet och försäkringsverksamhet,FINANCIAL AND INSURANCE ACTIVITIES,,,
M,Fastighetsverksamhet,REAL ESTATE ACTIVITIES,,,
N,"Verksamhet inom juridik, ekonomi, vetenskap och teknik","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,
O,"Uthyrning, fastighetsservice, resetjänster och annan stödverksamhet",ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,
P,Offentlig förvaltning och försvar; obligatorisk socialförsäkring,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,
Q,Utbildning,EDUCATION,,,
R,Vård och omsorg; social verksamhet,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,
S,"Kultur, idrott och fritid","ARTS, SPORTS AND RECREATION",,,
T,Annan serviceverksamhet,OTHER SERVICE ACTIVITIES,,,
U,Förvärvsarbete i hushåll; hushållens produktion av diverse varor och tjänster för eget bruk,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS- AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,,,
V,"Verksamhet vid internationella organisationer, utländska ambassader o.d.",ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,,,
01,Jordbruk och jakt samt stödverksamhet i anslutning härtill,"Crop and animal production, hunting and related service activities",A,,
02,Skogsbruk,Forestry and logging,A,,
03,Fiske och vattenbruk,Fishing and aquaculture,A,,
05,Kolutvinning,Mining of coal and lignite,B,,
06,Utvinning av råpetroleum och naturgas,Extraction of crude petroleum and natural gas,B,,
07,Utvinning av metallmalmer,Mining of metal ores,B,,
08,Annan utvinning av mineral,Other mining and quarrying,B,,
09,Stödverksamhet avseende utvinning,Mining support service activities,B,,
10,Livsmedelsframställning,Manufacture of food products,C,,
11,Framställning av drycker,Manufacture of beverages,C,,
12,Tobaksvarutillverkning,Manufacture of tobacco products,C,,
13,Textilvarutillverkning,Manufacture of textiles,C,,
14,Tillverkning av kläder,Manufacture of wearing apparel,C,,
15,Tillverkning av läder- och skinnvaror och liknande varor av andra material,Manufacture of leather and related products of other materials,C,,
16,"Tillverkning av trä och varor av trä och kork, utom möbler: tillverkning av varor av halm, rotting o.d.","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C,,
17,Pappers- och pappersvarutillverkning,Manufacture of paper and paper products,C,,
18,Grafisk produktion och reproduktion av inspelningar,Printing and reproduction of recorded media,C,,
19,Tillverkning av stenkolsprodukter och raffinerade petroleumprodukter,Manufacture of coke and refined petroleum products,C,,
20,Tillverkning av kemikalier och kemiska produkter,Manufacture of chemicals and chemical products,C,,
21,Tillverkning av farmaceutiska basprodukter och läkemedel,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,,
22,Tillverkning av gummi- och plastvaror,Manufacture of rubber and plastic products,C,,
23,Tillverkning av andra icke-metalliska mineraliska produkter,Manufacture of other non-metallic mineral products,C,,
24,Stål- och metallframställning,Manufacture of basic metals,C,,
25,Tillverkning av metallvaror utom maskiner och apparater,"Manufacture of fabricated metal products, except machinery and equipment",C,,
26,"Tillverkning av datorer, elektronikvaror och optik","Manufacture of computer, electronic and optical products",C,,
27,Tillverkning av elapparatur,Manufacture of electrical equipment,C,,
28,Tillverkning av övriga maskiner,Manufacture of machinery and equipment n.e.c.,C,,
29,"Tillverkning av motorfordon, släpfordon och påhängsvagnar","Manufacture of motor vehicles, trailers and semi-trailers",C,,
30,Tillverkning av andra transportmedel,Manufacture of other transport equipment,C,,
31,Tillverkning av möbler,Manufacture of furniture,C,,
32,Annan tillverkning,Other manufacturing,C,,
33,"Reparation, underhåll och installation av maskiner och utrustning","Repair, maintenance and installation of machinery and equipment",C,,
35,"El-, gas- och ångförsörjning samt luftkonditionering","Electricity, gas, steam and air conditioning supply",D,,
36,Vattenförsörjning,"Water collection, treatment and supply",E,,
37,Avloppsrening,Sewerage,E,,
38,"Insamling av avfall, återvinning och bortskaffande","Waste collection, recovery and disposal activities",E,,
39,"Sanering, efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning",Remediation activities and other waste management service activities,E,,
41,Byggande av bostadshus och andra byggnader,Construction of residential and non-residential buildings,F,,
42,Anläggningsarbeten,Civil engineering,F,,
43,Specialiserad bygg- och anläggningsverksamhet,Specialised construction activities,F,,
46,Parti- och provisionshandel,Wholesale trade,G,,
47,Detaljhandel,Retail trade,G,,
