vardekod,vardebenamning
01,"Jordbruk, jakt och service i anslutning härtill"
011,Växtodling
0111,Odling av jordbruksväxter
01111,Spannmålsodling m.m.
01112,Vallodling
01113,Potatisodling
01114,Sockerbetsodling
01115,"Odling av jordbruksväxter, blandat"
01117,"Odling av växter, blandat, mest jordbruksväxter"
01119,Övrig odling av jordbruksväxter
0112,"Odling av köks-, prydnads- och plantskoleväxter"
01121,Odling av köksväxter på friland
01122,Odling av plantskoleväxter m.m. på friland
01123,Odling av köksväxter i växthus
01124,Odling av prydnadsväxter i växthus
01125,"Odling av köks-, prydnads- och plantskoleväxter, blandat"
01127,"Odling av växter, blandat, mest köks -, prydnads- och plantskoleväxter"
01129,Svampodling m.m.
0113,"Odling av frukt, bär, nötter, kryddväxter m.m."
01131,Frukt- och bärodling
01137,"Odling av växter, blandat, mest frukt och bär"
01139,Odling av kryddväxter m.m.; bärplockning
012,Djurskötsel
0121,Nötkreatursskötsel
01211,Mjölkproduktion
01212,Nötköttsproduktion
01213,"Produktion av mjölk och nötkött, blandat"
01217,"Husdjursskötsel, blandad drift, mest nötkreatur"
0122,"Uppfödning av får, getter, hästar och åsnor"
01221,Fåruppfödning
01222,Getuppfödning
01223,"Uppfödning av får och getter, blandat"
01227,"Husdjursskötsel, blandad drift, mest får och getter"
01228,Hästuppfödning
0123,Svinuppfödning
01231,Smågrisuppfödning
01232,Slaktsvinsuppfödning
01233,"Uppfödning av smågrisar och slaktsvin, blandat"
01237,"Husdjursskötsel, blandad drift, mest svin"
0124,Fjäderfäskötsel
01241,Äggproduktion
01242,Slaktkycklinguppfödning
01243,"Fjäderfäskötsel, blandad drift"
01247,"Husdjursskötsel, blandad drift, mest fjäderfä"
01249,Övrig fjäderfäskötsel
0125,Annan djurskötsel
01251,Renskötsel
01252,Pälsdjursuppfödning
01253,"Bi-, mask- och annan smådjursuppfödning"
01254,Uppfödning av sällskapsdjur
01259,Uppfödning och skötsel av andra djur
013,Blandat jordbruk (växtodling i kombination med djurskötsel)
0130,Blandat jordbruk (växtodling i kombination med djurskötsel)
01300,Blandat jordbruk (växtodling i kombination med djurskötsel)
01301,"Blandat jordbruk, mest växtodling"
01302,"Blandat jordbruk, mest husdjursskötsel"
014,Service till jordbruk utom veterinärverksamhet
0141,Service till växtodling
01410,Service till växtodling
0142,Service till djurskötsel utom veterinärverksamhet
01420,Service till djurskötsel utom veterinärverksamhet
015,Jakt och viltvård samt service i anslutning härtill
0150,Jakt- och viltvård samt service i anslutning härtill
01500,Jakt- och viltvård samt service i anslutning härtill
019,Småbruk
0190,Småbruk
