code,label,label_en,parent_code,valid_from,valid_to
-,Ospecificerad,Unspecified,,,2013-08-13
A,Matsmältningsorgan och ämnesomsättning,Alimentary tract and metabolism,,,
A01,Medel vid mun- och tandsjukdomar,Stomatological preparations,,,
A01A,Medel vid mun- och tandsjukdomar,Stomatological preparations,,,
A01AA,Medel mot karies,Caries prophylactic agents,,,
A01AA01,Natriumfluorid,Sodium fluoride,,,
A01AA02,Natriummonofluorofosfat,Sodium monofluorophosphate,,,
A01AA03,Olaflur,Olaflur,,,
A01AA04,Tennfluorid,Stannous fluoride,,,
A01AA30,Kombinationer,Combinations,,,
A01AA51,"Natriumfluorid, kombinationer","Sodium fluoride, combinations",,,
A01AB,Antiinfektiva och antiseptiska medel för lokal behandling i munhålan,Antiinfectives and antiseptics for local oral treatment,,,
A01AB02,Väteperoxid,Hydrogen peroxide,,,
A01AB03,Klorhexidin,Chlorhexidine,,,
A01AB04,Amfotericin B,Amphotericin B,,,
A01AB05,Polynoxylin,Polynoxylin,,,
A01AB06,Domifen,Domiphen,,,
A01AB07,Hydroxikinolin,Oxyquinoline,,,
A01AB08,Neomycin,Neomycin,,,
A01AB09,Mikonazol,Miconazole,,,
A01AB10,Natamycin,Natamycin,,,
A01AB11,Övrigt,Various,,,
A01AB12,Hexetidin,Hexetidine,,,
A01AB13,Tetracyklin,Tetracycline,,,
A01AB14,Bensoxoniumklorid,Benzoxonium chloride,,,
A01AB15,Tibezoniumjodid,Tibezonium iodide,,,
A01AB16,Mepartricin,Mepartricin,,,
A01AB17,Metronidazol,Metronidazole,,,
A01AB18,Klotrimazol,Clotrimazole,,,
A01AB19,Natriumperborat,Sodium perborate,,,
A01AB21,Klortetracyklin,Chlortetracycline,,,
A01AB22,Doxycyklin,Doxycycline,,,
A01AB23,Minocyklin,Minocycline,,,
A01AB24,Oktenidin,Octenidine,,,
A01AB25,Oxitetracyklin,Oxytetracycline,,,
A01AB53,Klorhexidin och cetylpyridinium,Chlorhexidine and cetylpyridinium,,,
A01AC,Kortikosteroider för lokal behandling i munhålan,Corticosteroids for local oral treatment,,,
A01AC01,Triamcinolon,Triamcinolone,,,
A01AC02,Dexametason,Dexamethasone,,,
A01AC03,Hydrokortison,Hydrocortisone,,,
A01AC04,Prednisolon,Prednisolone,,,
A01AC54,"Prednisolon, kombinationer","Prednisolone, combinations",,,
A01AD,Övriga medel för lokal behandling i munhålan,Other agents for local oral treatment,,,
A01AD01,Adrenalin,Adrenaline,,,
A01AD02,Bensydamin,Benzydamine,,,
A01AD05,Acetylsalicylsyra,Acetylsalicylic acid,,,
A01AD06,Adrenon,Adrenalone,,,
A01AD07,Amlexanox,Amlexanox,,,
A01AD08,Bekaplermin,Becaplermin,,,
A01AD11,Övrigt,Various,,,
A02,Medel vid syrarelaterade symtom,Drugs for acid related disorders,,,
A02A,Antacida,Antacids,,,
A02AA,Magnesiumföreningar,Magnesium compounds,,,
A02AA01,Magnesiumkarbonat,Magnesium carbonate,,,
A02AA02,Magnesiumoxid,Magnesium oxide,,,
A02AA03,Magnesiumperoxid,Magnesium peroxide,,,
A02AA04,Magnesiumhydroxid,Magnesium hydroxide,,,
A02AA05,Magnesiumsilikat,Magnesium silicate,,,
A02AA10,Kombinationer,Combinations,,,
A02AB,Aluminiumföreningar,Aluminium compounds,,,
A02AB01,Aluminiumhydroxid,Aluminium hydroxide,,,
A02AB02,Algeldrat,Algeldrate,,,
A02AB03,Aluminiumfosfat,Aluminium phosphate,,,
A02AB04,Dihydroxialuminiumnatriumkarbonat,Dihydroxialumini sodium carbonate,,,
A02AB05,Aluminiumacetoacetat,Aluminium acetoacetate,,,
A02AB06,Aloglutamol,Aloglutamol,,,
A02AB07,Aluminium glycinat,Aluminium glycinate,,,
A02AB10,Kombinationer,Combinations,,,
A02AC,Kalciumföreningar,Calcium compounds,,,
A02AC01,Kalciumkarbonat,Calcium carbonate,,,
A02AC02,Kalciumsilikat,Calcium silicate,,,
A02AC10,Kombinationer,Combinations,,,
A02AD,"Kombinationer och komplex av aluminium-, kalcium- och magnesiumföreningar","Combinations and complexes of aluminium, calcium and magnesium compounds",,,
A02AD01,"Aluminium-, kalcium- och magnesiumsalter",Ordinary salt combinations,,,
A02AD02,Magaldrat,Magaldrate,,,
A02AD03,Almagat,Almagate,,,
A02AD04,Hydrotalcit,Hydrotalcite,,,
A02AD05,Almasilat,ALMASILATE,,,
A02AF,Antacida och medel mot meteorism,Antacids with antiflatulents,,,
A02AF01,Magaldrat och medel mot meteorism,Magaldrate and antiflatulents,,,
A02AF02,"Aluminium-, kalcium- och magnesiumsalter samt medel mot meteorism",Ordinary salt combinations and antiflatulents,,,
A02AG,Antacida och spasmolytika,Antacids with antispasmodics,,,
A02AH,Antacida med natriumvätekarbonat,Antacids with sodium bicarbonate,,,
A02AX,"Antacida, övriga kombinationer","Antacids, other combinations",,,
A02B,Medel vid magsår och gastroesofageal refluxsjukdom,Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),,,
A02BA,Histamin-2-receptorantagonister,H2-receptor antagonists,,,
A02BA01,Cimetidin,Cimetidine,,,
A02BA02,Ranitidin,Ranitidine,,,
A02BA03,Famotidin,Famotidine,,,
A02BA04,Nizatidin,Nizatidine,,,
A02BA05,Niperotidin,Niperotidine,,,
A02BA06,Roxatidin,Roxatidine,,,
A02BA07,Ranitidinvismutcitrat,Ranitidine bismuth citrate,,,
A02BA08,Lafutidin,Lafutidine,,,
A02BA51,"Cimetidin, kombinationer","Cimetidine, combinations",,,
A02BA53,"Famotidin, kombinationer","Famotidine, combinations",,,
A02BB,Prostaglandiner,Prostaglandins,,,
A02BB01,Misoprostol,Misoprostol,,,
A02BB02,Enprostil,Enprostil,,,
A02BC,Protonpumpshämmare,Proton pump inhibitors,,,
A02BC01,Omeprazol,Omeprazole,,,
A02BC02,Pantoprazol,Pantoprazole,,,
A02BC03,Lansoprazol,Lansoprazole,,,
A02BC04,Rabeprazol,Rabeprazole,,,
A02BC05,Esomeprazol,Esomeprazole,,,
A02BC06,Dexlansoprazol,Dexlansoprazole,,,
A02BC07,Dexrabeprazol,Dexrabeprazole,,,
A02BC08,Vonoprazan,Vonoprazan,,,
A02BC09,Tegoprazan,Tegoprazan,,,
A02BC10,Fexuprazan,Fexuprazan,,,
A02BC11,Ilaprazol,Ilaprazole,,,
A02BC12,Zastaprazan,Zastaprazan,,,
A02BC51,"Omeprazol, kombinationer","Omeprazole, combinations",,,
A02BC53,"Lansoprazol, kombinationer","Lansoprazole, combinations",,,
A02BC54,"Rabeprazol, kombinationer","Rabeprazole, combinations",,,
A02BD,Kombinationer för eradikering av Helicobacter pylori,Combinations for eradication of Helicobacter pylori,,,
A02BD01,"Omeprazol, amoxicillin och metronidazol","Omeprazole, amoxicillin and metronidazole",,,
A02BD02,"Lansoprazol, tetracyklin och metronidazol","Lansoprazole, tetracycline and metronidazole",,,
A02BD03,"Lansoprazol, amoxicillin och metronidazol","Lansoprazole, amoxicillin and metronidazole",,,
A02BD04,"Pantoprazol, amoxicillin och klaritromycin","Pantoprazole, amoxicillin and clarithromycin",,,
A02BD05,"Omeprazol, amoxicillin och klaritromycin","Omeprazole, amoxicillin and clarithromycin",,,
A02BD06,"Esomeprazol, amoxicillin och klaritromycin","Esomeprazole, amoxicillin and clarithromycin",,,
A02BD07,"Lansoprazol, amoxicillin och klaritromycin","Lansoprazole, amoxicillin and clarithromycin",,,
A02BD08,"Vismutsubcitrat, tetracyklin och metronidazol","Bismuth subcitrate, tetracycline and metronidazole",,,
A02BD09,"Lansoprazol, klaritromycin och tinidazol","Lansoprazole, clarithromycin and tinidazole",,,
A02BD10,"Lansoprazol, amoxicillin och levofloxacin","Lansoprazole, amoxicillin and levofloxacin",,,
A02BD11,"Pantoprazol, amoxicillin, klaritromycin och metronidazol","Pantoprazole, amoxicillin, clarithromycin and metronidazole",,,
A02BD12,"Rabeprazol, amoxicillin och klaritromycin","Rabeprazole, amoxicillin and clarithromycin",,,
A02BD13,"Rabeprazol, amoxicillin och metronidazol","Rabeprazole, amoxicillin and metronidazol",,,
A02BD14,"Vonoprazan, amoxicillin och klaritromycin","Vonoprazan, amoxicillin and clarithromycin",,,
A02BD15,"Vonoprazan, amoxicillin och metronidazol","Vonoprazan, amoxicillin and metronidazole",,,
A02BD16,"Omeprazol, amoxicillin och rifabutin","Omeprazole, amoxicillin and rifabutin",,,
A02BD17,Vonoprazan och amoxicillin,Vonoprazan and amoxicillin,,,
A02BX,Övriga medel vid magsår och gastroesofageal refluxsjukdom,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),,,
A02BX01,Karbenoxolon,Carbenoxolone,,,
A02BX02,Sukralfat,Sucralfate,,,
A02BX03,Pirenzepin,Pirenzepine,,,
A02BX04,Metiosulfonklorid,Methiosulfonium chloride,,,
A02BX05,Vismutsubcitrat,Bismuth subcitrate,,,
A02BX06,Proglumid,Proglumide,,,
A02BX07,Gefarnat,Gefarnate,,,
A02BX08,Sulglikotid,Sulglicotide,,,
A02BX09,Acetoxolon,Acetoxolone,,,
A02BX10,Zolimidin,Zolimidine,,,
A02BX11,Troxipid,Troxipide,,,
A02BX12,Vismutsubnitrat,Bismuth subnitrate,,,
A02BX13,Alginsyra,Alginic acid,,,
A02BX14,Rebamipid,Rebamipide,,,
A02BX15,Teprenon,Teprenone,,,
A02BX16,Irsogladin,Irsogladine,,,
A02BX51,"Karbenoxolon, kombinationer exkl. psykoleptika","Carbenoxolone, combinations excl. psycholeptics",,,
A02BX71,"Karbenoxolon, kombination med psykoleptika","Carbenoxolone, combinations with psycholeptics",,,
A02BX77,"Gefarnat, kombination med lugnande medel","Gefarnate, combinations with psycholeptics",,,
A02D,Medel mot meteorism,Antiflatulents,,,2012-12-13
A02DA,Medel mot meteorism,Antiflatulents,,,2012-12-13
A02DA01,Silikoner,Silicones,,,2001-12-31
A02E,Medel vid gastroesofageal reflux,Antiregurgitants,,,2012-12-13
A02EA,Medel vid gastroesofageal reflux,Antiregurgitants,,,2012-12-13
A02EA01,Alginsyra,Alginic acid,,,2001-12-31
A02X,Övriga medel vid syrarelaterade sjukdomar,Other drugs for acid related disorders,,,
A03,Medel vid funktionella mag-tarmsymtom,Drugs for functional gastrointestinal disorders,,,
A03A,Medel vid funktionella mag-tarmsymtom,Drugs for functional gastrointestinal disorders,,,
A03AA,"Syntetiska antikolinergika, estrar med tertiär aminogrupp","Synthetic anticholinergics, esters with tertiary amino group",,,
A03AA01,Oxifencyklimin,Oxyphencyclimine,,,
