code,label,label_en,parent_code,valid_from,valid_to
A03A,"Intrakraniell kirurgi för tumör, mycket komplicerat","Intracranial surgery for central nervous system tumour, w MCC",,,
A03E,"Intrakraniell kirurgi för tumör, ej komplicerat","Intracranial surgery for central nervous system tumour, w/o CC",,,
A04N,"Åtgärd för ej rupturerat aneurysm, kärlmissbildning och infarkt","Surgery of intracranial aneurysm, vascular anomaly or hemangioma",,,
A05N,Intrakraniell kirurgi för kroniskt subduralhematom,Surgery of chronic subdural hematoma,,,
A08A,"Annan intrakraniell kärlkirurgi, mycket komplicerat","Other intracranial vascular surgery, w MCC",,,
A08E,"Annan intrakraniell kärlkirurgi, ej komplicerat","Other intracranial vascular surgery, w/o CC",,,
A09A,"Intrakraniell shuntkirurgi, mycket komplicerat","Intracranial cerebrospinal fluid shunt surgery, w MCC",,,
A09E,"Intrakraniell shuntkirurgi, ej komplicerat","Intracranial cerebrospinal fluid shunt surgery, w/o CC",,,
A10A,"Annan kraniotomi vid traumadiagnos, mycket komplicerat","Other craniotomy for trauma, w MCC",,,
A10C,"Annan kraniotomi vid traumadiagnos, komplicerat","Other craniotomy for trauma, w CC",,,
A10E,"Annan kraniotomi vid traumadiagnos, ej komplicerat","Other craniotomy for trauma, w/o CC",,,
A11A,"Annan kraniotomi utan traumadiagnos, mycket komplicerat","Other craniotomy except trauma, w MCC",,,
A11E,"Annan kraniotomi utan traumadiagnos, ej komplicerat","Other craniotomy except for trauma, w/o CC",,,
A15O,"Intrakraniella åtgärder, öppenvård","Craniotomy, short therapy",,,
A16N,Stereotaktisk intrakraniell strålbehandling,Stereotactic intracranial radiotherapy,,,
A16O,"Stereotaktisk intrakraniell strålbehandling, öppenvård","Stereotactic intracranial radiotherapy, short therapy",,,
A20O,"Implantation/byte av nervstimulator, öppenvård","Insertion or replacement of nervous system central stimulation device, short therapy",,,
A21N,Inläggning av intrakraniell och vagal nervstimuleringsutrustning,Insertion of intracranial or vagal nerve stimulator,,,
A22N,Implantation/byte av annan nervstimuleringsutrustning,Insertion or replacement of nervous system central stimulation device,,,
A25N,Operationer på ryggmärg och närliggande vävnad,Spinal procedures,,,
A25O,"Operationer på ryggmärg och närliggande vävnad, öppenvård","Spinal procedures, short therapy",,,
A28C,"Operationer på extrakraniella kärl, komplicerat","Extracranial vascular procedures, w CC",,,
A28E,"Operationer på extrakraniella kärl, ej komplicerat","Extracranial vascular procedures, w/o CC",,,
A28O,"Operationer på extrakraniella kärl, öppenvård","Extracranial vascular procedures, short therapy",,,
A29N,Operationer på karpaltunnel,Carpal tunnel release,,,
A29O,"Operationer på karpaltunnel, öppenvård","Carpal tunnel release, short therapy",,,
