code,label,label_en,parent_code,valid_from,valid_to
01,Vissa infektionssjukdomar och parasitsjukdomar (A00-B99),,,1997-01-01,
02,Tumörer (C00-D48),,,1997-01-01,
03,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet (D50-D89),,,1997-01-01,
04,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar (E00-E90)",,,1997-01-01,
05,Psykiska sjukdomar och syndrom samt beteendestörningar (F00-F99),,,1997-01-01,
06,Sjukdomar i nervsystemet (G00-G99),,,1997-01-01,
07,Sjukdomar i ögat och närliggande organ (H00-H59),,,1997-01-01,
08,Sjukdomar i örat och mastoidutskottet (H60-H95),,,1997-01-01,
09,Cirkulationsorganens sjukdomar (I00-I99),,,1997-01-01,
10,Andningsorganens sjukdomar (J00-J99),,,1997-01-01,
11,Matsmältningsorganens sjukdomar (K00-K93),,,1997-01-01,
12,Hudens och underhudens sjukdomar (L00-L99),,,1997-01-01,
13,Sjukdomar i muskuloskeletala systemet och bindväven (M00-M99),,,1997-01-01,
14,Sjukdomar i urin- och könsorganen (N00-N99),,,1997-01-01,
15,"Graviditet, förlossning och barnsängstid (O00-O99)",,,1997-01-01,
16,Vissa perinatala tillstånd (P00-P96),,,1997-01-01,
17,"Medfödda missbildningar, deformiteter och kromosomavvikelser (Q00-Q99)",,,1997-01-01,
18,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras på annan plats (R00-R99)",,,1997-01-01,
19,"Skador, förgiftningar och vissa andra följder av yttre orsaker (S00-T98)",,,1997-01-01,
20,Yttre orsaker till sjukdom och död (V01-Y98),,,1997-01-01,
21,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården (Z00-Z99),,,1997-01-01,
22,Koder för särskilda ändamål (U00-U99),,,2007-01-01,
A00,Kolera,,A00-A09,1997-01-01,
A00-A09,Infektionssjukdomar utgående från mag-tarmkanalen,,01,1997-01-01,
A00.0,"Kolera orsakad av Vibrio cholerae 01, biovar cholerae",,A00,1997-01-01,
A00.1,"Kolera orsakad av Vibrio cholerae 01, biovar el tor",,A00,1997-01-01,
A00.9,"Kolera, ospecificerad",,A00,1997-01-01,
A01,Tyfoidfeber och paratyfoidfeber,,A00-A09,1997-01-01,
A01.0,Tyfoidfeber,,A01,1997-01-01,
A01.1,Paratyfoidfeber A,,A01,1997-01-01,
A01.2,Paratyfoidfeber B,,A01,1997-01-01,
A01.3,Paratyfoidfeber C,,A01,1997-01-01,
A01.4,"Paratyfoidfeber, ospecificerad",,A01,1997-01-01,
A02,Andra salmonellainfektioner,,A00-A09,1997-01-01,
A02.0,Salmonellaenterit,,A02,1997-01-01,
A02.1,Salmonellasepsis,,A02,1997-01-01,
A02.2,Lokaliserade salmonellainfektioner,,A02,1997-01-01,
A02.8,Andra specificerade salmonellainfektioner,,A02,1997-01-01,
A02.9,"Andra salmonellainfektioner, ospecificerade",,A02,1997-01-01,
A03,"Shigellos (bakteriell dysenteri, rödsot)",,A00-A09,1997-01-01,
A03.0,Shigella dysenteriae (serogrupp A),,A03,1997-01-01,
A03.1,Shigella flexneri (serogrupp B),,A03,1997-01-01,
A03.2,Shigella boydii (serogrupp C),,A03,1997-01-01,
A03.3,Shigella sonnei (serogrupp D),,A03,1997-01-01,
A03.8,Annan specificerad shigellos,,A03,1997-01-01,
A03.9,"Shigellos, ospecificerad",,A03,1997-01-01,
A04,Andra bakteriella tarminfektioner,,A00-A09,1997-01-01,
A04.0,Infektion med tarmpatogena Escherichia coli-bakterier,,A04,1997-01-01,
A04.1,Infektion med tarmtoxiska Escherichia coli-bakterier,,A04,1997-01-01,
A04.2,Infektion med tarminvasiva Escherichia coli-bakterier,,A04,1997-01-01,
A04.3,Infektion med tarmhemorragiska Escherichia coli-bakterier,,A04,1997-01-01,
A04.4,Annan tarminfektion med Escherichia coli,,A04,1997-01-01,
A04.5,Enterit orsakad av Campylobacter,,A04,1997-01-01,
A04.6,Enterit orsakad av Yersinia enterocolitica,,A04,1997-01-01,
A04.7,Enterokolit orsakad av Clostridioides difficile,,A04,1997-01-01,
A04.8,Andra specificerade bakteriella tarminfektioner,,A04,1997-01-01,
A04.9,"Bakteriell tarminfektion, ospecificerad",,A04,1997-01-01,
