code,label,label_en,parent_code,valid_from,valid_to
"000,01",Cholera classica,,,,
"000,10",Cholera el tor,,,,
"000,97",Cholera suspecta,,,,
"000,99",Cholera nud,,,,
"001,97",Febris typhoides suspecta,,,,
"001,99",Febris typhoides nud,,,,
"002,00",Febris paratyphoides typus a,,,,
"002,10",Febris paratyphoides typus b,,,,
"002,20",Febris paratyphoides typus c,,,,
"002,97",Febris paratyphoides suspecta,,,,
"002,99",Febris paratyphoides nud,,,,
"003,00",Salmonellosis causa alimentaria (typhi murium) breslau,,,,
"003,01",Salmonellosis causa alimentaria oranienburg,,,,
"003,02",Salmonellosis causa alimentaria montevideo,,,,
"003,03",Salmonellosis causa alimentaria newcastle,,,,
"003,04",Salmonellosis causa alimentaria enteritidis gärtner,,,,
"003,05",Salmonellosis causa alimentaria cholerae suis,,,,
"003,06",Salmonellosis causa alimentaria alia,,,,
"003,07",Salmonellosis causa alimentaria suspecta,,,,
"003,09",Salmonellosis causa alimentaria nud,,,,
"003,90","Salmonellosis causa alimentaria non indicata, breslau (typhi murium)",,,,
"003,91","Salmonellosis causa alimentaria non indicata, oranienburg",,,,
"003,92","Salmonellosis causa alimentaria non indicata, montevideo",,,,
"003,93","Salmonellosis causa alimentaria non indicata, newcastle",,,,
"003,94","Salmonellosis causa alimentaria non indicata, enteritidis gärtner",,,,
"003,95","Salmonellosis causa alimentaria non indicata, cholerae suis",,,,
"003,96","Salmonellosis causa alimentaria non indicata, alia",,,,
"003,97","Salmonellosis causa alimentaria non indicata, suspecta",,,,
"003,99","Causa alimentaria non indicata, suspecta nud",,,,
"004,00",Dysenteria shiga,,,,
"004,10",Dysenteria bacillaris flexner,,,,
"004,20",Dysenteria bacillaris boyd,,,,
"004,30",Dysenteria sonne,,,,
"004,40",Dysenteria schmitz stutzer,,,,
"004,80",Dysenteria bacillaris alia,,,,
"004,97",Dysenteria bacillaris suspecta,,,,
"004,99",Dysenteria bacillaris nud,,,,
"005,00",INtoxicatio staphylococcica,,,,
"005,10",Botulismus,,,,
"005,20",INtoxicatio alimentaria bacillaris acuta aliae clostridiae,,,,
"005,80",INtoxicatio alimentaria bacillaris acuta aliae bacteriae,,,,
"005,97",INtoxicatio alimentaria bacillaris acuta suspecta,,,,
"005,99",INtoxicatio alimentaria bacillaris acuta nud,,,,
"006,00",Amoebiasis cum abscessu hepatis,,,,
"006,90","Amoebiasis, sine abscessu hepatis",,,,
"006,97",Amoebiasis suspecta,,,,
"006,99",Amoebiasis nud,,,,
"007,00",Balantidiasis,,,,
"007,10",Gardiasis. lambliasis,,,,
"007,20",Coccidiosis,,,,
"007,96",Dysenteria protozoica alia s. nud,,,,
"007,97",Dysenteria protozoica suspecta,,,,
"007,99",Dysenteria protozoica nud,,,,
"008,00",Enteritis escherichia coli,,,,
"008,10",Enteritis arizona,,,,
"008,20",Enteritis bacterica alia specificata,,,,
"008,30",Enteritis bacterica nud,,,,
"008,80",Enteritis per virosa specificata,,,,
"008,98",Enteritis per virosa nud,,,,
"009,00",Diarrhoea dysenterica nud,,,,
"009,19",Diarrhoea nud,,,,
"009,20",Gastroenteritis (acuta) (infectiosa),,,,
"009,21",Enterocolitis sive colitis (acuta) (infectiosa),,,,
"009,98",Diarrhoea alia,,,,
"010,99",Silicotuberculosis,,,,
"011,01",Tuberculosis pulmonum cavernosa,,,,
"011,02",Tuberculosis pulmonum non cavernosa,,,,
"011,03",Tuberculosis bronchialis,,,,
"011,04",Tuberculoma pulmonum,,,,
"011,05",Tuberculosis disseminata pulmonum,,,,
"011,06",Tuberculosis pulmonum alia sive nud,,,,
"011,07",Tuberculosis pulmonum suspecta,,,,
"011,09",Tuberculosis nud,,,,
"012,00",Complexus tuberculosus primarius cum symptomatibus,,,,
"012,10",Tuberculosis pleurae. pleuritis exsudativa tuberculosa,,,,
"012,11",Empyema pleurae tuberculosum,,,,
"012,12",Fistula tuberculosa pleurae,,,,
"012,20","Pleuritis exsudativa, serofibrinosa, serosa, causa non indicata",,,,
"012,30",Tuberculosis laryngis,,,,
"012,90",Tuberculosis tracheae,,,,
"012,91",Tuberculosis pharyngis,,,,
"012,92",Tuberculosis lymphonodorum tracheo-bronchialium et mediastini,,,,
"012,96",Tuberculosis alia organorum respirationis,,,,
"012,97",Tuberculosis aliorum organorum respirationis suspecta,,,,
"013,00",Tuberculosis meningum,,,,
"013,90","Tuberculosis systematis nervosi centralis, meningibus exceptis",,,,
"013,97",Tuberculosis meningum et systematis nervosi centralis suspecta,,,,
"013,99",Tuberculosis meningum et systematis nervosi centralis nud,,,,
"014,00",Tuberculosis intestinorum,,,,
"014,01",Tuberculosis peritonei et lymphonodorum mesenterii,,,,
"014,07","Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii suspecta",,,,
"014,09","Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii nud",,,,
"015,00",Tuberculosis columnae vertebralis activa s. non definita,,,,
"015,10",Tuberculosis coxae activa s. non definita,,,,
"015,20",Tuberculosis genus activa s. non definita,,,,
"015,88",Tuberculosis activa s. non definita aliorum ossium et articulorum,,,,
"015,97",Tuberculosis ossium et articulorum suspecta,,,,
"015,99",Tuberculosis ossium et articulorum nud,,,,
"016,00",Tuberculosis renis,,,,
"016,01",Tuberculosis ureteris,,,,
"016,02",Tuberculosis vesicae urinariae,,,,
"016,03",Tuberculosis urethrae,,,,
"016,04","Tuberculosis prostatae, vesiculae seminalis sive testis",,,,
"016,05",Tuberculosis salpingis,,,,
"016,06",Tuberculosis endometrii,,,,
"016,07",Tuberculosis uro-genitalis alia,,,,
"016,08",Tuberculosis uro-genitalis suspecta,,,,
"016,09",Tuberculosis uro-genitalis nud,,,,
"017,01",Erythema induratum tuberculosum,,,,
"017,02",Erythema nodosum tuberculosum,,,,
"017,03",Lupus tuberculosus,,,,
"017,08",Tuberculosis alia cutis et subcutis,,,,
"017,09",Tuberculosis cutis et subcutis nud,,,,
"017,10",Tuberculosis lymphonodorum colli,,,,
"017,18",Lymphonodorum periphericorum aliorum,,,,
"017,19",Tuberculosis lymphonodorum nud,,,,
"017,20",Conjunctivitis tuberculosa,,,,
