code,label,label_en,parent_code,valid_from,valid_to
001X,Kolera,,,,
002A,Tyfoidfeber,,,,
002B,Paratyfoidfeber A,,,,
002C,Paratyfoidfeber B,,,,
002D,Paratyfoidfeber C,,,,
002X,"Paratyfoidfeber, ospecificerad",,,,
003A,Salmonellagastroenterit,,,,
003B,Salmonellaseptikemi,,,,
003C,Lokaliserade salmonellainfektioner,,,,
003W,Andra specificerade salmonellainfektioner,,,,
003X,"Andra salmonellainfektioner, ospecificerade",,,,
004A,Shigella dysenteriae (serogrupp A),,,,
004B,Shigella flexneri (serogrupp B),,,,
004C,Shigella boydii (serogrupp C),,,,
004D,Shigella sonnei (serogrupp D),,,,
004W,Annan specificerad shigellos,,,,
004X,"Shigellos, ospecificerad",,,,
005A,Matförgiftning orsakad av stafylokocker,,,,
005B,Matförgiftning orsakad av Clostridium botulinum,,,,
005C,Matförgiftning orsakad av Clostridium perfringens,,,,
005D,Matförgiftning orsakad av andra klostridier,,,,
005E,Matförgiftning orsakad av Vibrio parahaemolyticus,,,,
005J,Matförgiftning orsakad av Bacillus cereus,,,,
005W,Annan bakteriell matförgiftning,,,,
005X,"Matförgiftning, ospecificerad",,,,
006A,Akut amöbadysenteri utan uppgift om abscess,,,,
006B,Kronisk intestinal amöbainfekt utan uppgift om abscess,,,,
006C,Icke dysenterisk kolit orsakad av amöba,,,,
006D,Leverabscess orsakad av amöba,,,,
006E,Lungabscess orsakad av amöba,,,,
006F,Hjärnabscess orsakad av amöba,,,,
006G,Sårbildning i huden orsakad av amöba,,,,
006W,Amöbainfektion med annan lokalisation än 006A-G,,,,
006X,"Amöbainfektion, ospecificerad",,,,
007A,Balantidiasis,,,,
007B,Giardiasis,,,,
007C,Coccidios,,,,
007D,Intestinal trikomonasinfektion,,,,
007J,Infektion orsakad av Cryptosporidium,,,,
007W,Tarmsjukdomar orsakade av andra specificerade protozoer,,,,
007X,"Andra protozosjukdomar i tarmen, ospecificerade",,,,
008A,Tarminfektion orsakad av Escherichia coli,,,,
008B,Tarminfektion orsakad av Arizona,,,,
008C,Tarminfektion orsakad av Aerobacter aerogenes,,,,
008D,Tarminfektion orsakad av Proteus,,,,
008E,Tarminfektion orsakad av andra specificerade bakterier,,,,
008F,Ospecificerad bakteriell enterit,,,,
008H,Enterit orsakad av adenovirus,,,,
008J,Enterit orsakad av Coxsackievirus,,,,
008K,Enterit orsakad av ECHO-virus,,,,
008L,Enterit orsakad av rotavirus,,,,
008M,Enterit orsakad av andra specificerade virus,,,,
008W,Enterit ors av andra organismer som ej klass annorstäd,,,,
009A,"Infektiös kolit, enterit och gastroenterit",,,,
009B,"Kolit, enterit och gastroenterit, troligen infektiös",,,,
009C,Infektiös diarre,,,,
009D,"Diarre, troligen av infektiöst ursprung",,,,
010A,Primärtuberkulos,,,,
010B,Tuberkulös pleurit vid färsk infektion,,,,
010W,Annan primär progressiv tuberkulos,,,,
010X,"Primär tuberkulös infektion, ospecificerad",,,,
011A,Lungtuberkulos med diffusa infiltrat,,,,
011B,Lungtuberkulos med väl avgränsade härdar,,,,
011C,Lungtuberkulos med kavern,,,,
011D,Bronkialtuberkulos vid lungtuberkulos,,,,
011E,Tuberkulös lungfibros,,,,
011F,Tuberkulösa bronkiektasier,,,,
011G,Tuberkulös pneumoni (alla former),,,,
011H,Tuberkulös pneumotorax,,,,
011W,Annan specificerad lungtuberkulos,,,,
011X,"Lungtuberkulos, ospecificerad",,,,
012A,Tuberkulös pleurit,,,,
012B,Tuberkulos i intratorakala lymfkörtlarna,,,,
012C,Isolerad tuberkulos i trakea och bronker,,,,
012D,Tuberkulös laryngit,,,,
012W,Annan specificerad tuberkulos i andningsorganen,,,,
013A,Tuberkulös meningit,,,,
013B,Tuberkulom i hjärnhinnorna,,,,
013W,Annan tuberkulos i centrala nervsystemet,,,,
013X,"Tuberkulos i hjärnhinnor och centrala nervsystem, ospec",,,,
014X,"Tuberkulos i tarmarna, bukhinnan och tarmkäxkörtlarna",,,,
015A,Tuberkulos i kotpelaren,,,,
015B,Tuberkulos i höft,,,,
015C,Tuberkulos i knäled,,,,
015H,Tuberkulos i andra delar av skelettet,,,,
015W,Tuberkulos i annan led,,,,
015X,"Tuberkulos i skelettet och lederna, ospecificerad",,,,
016A,Tuberkulos i njure,,,,
016B,Tuberkulos i andra urinorgan,,,,
016C,Tuberkulos i epididymis,,,,
016D,Tuberkulos i andra manliga könsorgan,,,,
016E,Tuberkulos i kvinnliga könsorgan,,,,
016X,"Tuberkulos i urin- och könsorganen, ospecificerad",,,,
017A,Tuberkulos i hud och underhud,,,,
017B,Knölros och andra överkänslighetsreaktioner vid tbc,,,,
017C,Tuberkulos i perifera lymfkörtlar,,,,
017D,Tuberkulos i öga,,,,
017E,Tuberkulos i öra,,,,
017F,Tuberkulos i tyreoidea,,,,
017G,Tuberkulos i binjurar,,,,
017H,Tuberkulos i mjälten,,,,
017W,Tuberkulos i andra specificerade organ,,,,
018A,Akut miliartuberkulos,,,,
018W,Annan specificerad miliartuberkulos,,,,
018X,"Miliartuberkulos, ospecificerad",,,,
020X,Pest,,,,
021X,Tularemi,,,,
022X,Mjältbrand,,,,
023X,Undulantfeber,,,,
024X,Rots,,,,
025X,Melioidos,,,,
026X,Råttbettsfeber,,,,
027A,Listerios,,,,
027B,Erysipelotrixinfektion,,,,
027C,Pasteurellos,,,,
027W,Andra djurburna bakteriesjukdomar än 020-027C,,,,
027X,"Andra djurburna bakteriesjukdomar, ospecificerade",,,,
030X,Lepra,,,,
031A,Mykobakteriell lungaffektion,,,,
031B,Mykobakteriell hudaffektion,,,,
031W,Andra specificerade mykobakteriella sjukdomar,,,,
031X,"Andra mykobakteriella sjukdomar, ospecificerade",,,,
032X,Difteri,,,,
033A,Kikhosta orsakad av Bordetella pertussis,,,,
033B,Kikhosta orsakad av Bordetella parapertussis,,,,
033W,Kikhosta orsakad av annan specificerad organism,,,,
033X,Kikhosta orsakad av icke specificerad organism,,,,
034A,Streptokocktonsillit,,,,
034B,Scarlatina,,,,
035X,Rosfeber,,,,
036A,Meningokockmeningit,,,,
036B,Meningokockencefalit,,,,
036C,Meningokockemi,,,,
036D,Waterhouse-Friderichsens syndrom av meningokocker,,,,
036E,Meningokockkardit,,,,
036W,Andra specificerade meningokockinfektioner än 036A-E,,,,
036X,"Meningokockinfektion, ospecificerad",,,,
037X,Stelkramp,,,,
038A,Streptokockseptikemi,,,,
038B,Stafylokockseptikemi,,,,
038C,Pneumokockseptikemi,,,,
038D,Septikemi orsakad av anaerober,,,,
038E,Septikemi orsakad av gramnegativa bakterier,,,,
038W,Andra specificerade septikemier,,,,
038X,"Septikemi, ospecificerad",,,,
039X,Aktinomykos,,,,
040A,Gasgangrän,,,,
040B,Rinosklerom,,,,
040C,Whipples sjukdom,,,,
040D,Nekrobacillos,,,,
040W,Andra bakteriesjukdomar,,,,
041A,Infektion orsakad av streptokocker,,,,
041B,Infektion orsakad av stafylokocker,,,,
041C,Infektion orsakad av pneumokocker,,,,
041D,Infektion orsakad av Friedländers bacill,,,,
041E,Infektion orsakad av Escherichia coli,,,,
041F,Infektion orsakad av Haemophilus influenzae,,,,
041G,"Infektion orsakad av Proteus (mirabilis, morganii)",,,,
041H,Infektion orsakad av Pseudomonas,,,,
041W,Infektion orsakad av andra specificerade bakterier,,,,
041X,"Bakterieinfektion, ospecificerad",,,,
045X,Polio,,,,
046A,Kuru,,,,
046B,Jakob-Creutzfeldts sjukdom,,,,
046C,Subakut skleroserande panencefalit,,,,
046D,Progressiv multifokal leukoencefalopati,,,,
