code,label,label_en,parent_code,valid_from,valid_to
b,KROPPSFUNKTIONER,,,,
b1,Psykiska funktioner,,b,,
b110,Medvetandefunktioner,,b110-b139,,
b110-b139,Övergripande psykiska funktioner,,b1,,
b1100,Funktioner för att upprätthålla medvetande och vakenhet,,b110,,
b1101,Funktioner för att upprätthålla kontinuiteten i medvetande och vakenhet,,b110,,
b1102,Funktioner för att upprätthålla kvaliteten i medvetande och vakenhet,,b110,,
b1108,"Medvetande och vakenhetsfunktioner, andra specificerade",,b110,,
b1109,"Medvetande och vakenhetsfunktioner, ospecificerade",,b110,,
b114,Orienteringsfunktioner,,b110-b139,,
b1140,Funktioner för orientering till tid,,b114,,
b1141,Funktioner för orientering till rum,,b114,,
b1142,Funktioner för orientering till person,,b114,,
b11420,Orientering till jaget,,b1142,,
b11421,Orientering till andra,,b1142,,
b11428,"Funktioner för orientering till person, andra specificerade",,b1142,,
b11429,"Funktioner för orientering till person, ospecificerade",,b1142,,
b1143,Funktioner för orientering till föremål,,b114,,
b1144,Funktioner för orientering till närmaste omgivning,,b114,,
b1148,Andra specificerade orienteringsfunktioner,,b114,,
b1149,Ospecificerade orienteringsfunktioner,,b114,,
b117,Intellektuella funktioner,,b110-b139,,
b122,Övergripande psykosociala funktioner,,b110-b139,,
b126,Temperament och personlighetsfunktioner,,b110-b139,,
b1260,Extroversion (utåtvändhet),,b126,,
b1261,Behaglighet,,b126,,
b1262,Samvetsgrannhet,,b126,,
b1263,Psykisk stabilitet,,b126,,
b1264,Öppenhet för upplevelser,,b126,,
b1265,Optimism,,b126,,
b1266,Självförtroende,,b126,,
b1267,Pålitlighet,,b126,,
b1268,"Temperament och personlighetsfunktioner, andra specificerade",,b126,,
b1269,"Temperament och personlighetsfunktioner, ospecificerade",,b126,,
b130,Energi och driftfunktioner,,b110-b139,,
b1300,Funktioner för energinivå,,b130,,
b1301,Funktioner för motivation,,b130,,
b1302,Funktioner för aptit,,b130,,
b1304,Funktioner för impulskontroll,,b130,,
b1308,"Energi och driftfunktioner, andra specificerade",,b130,,
b1309,"Energi och driftfunktioner, ospecificerade",,b130,,
b134,Sömnfunktioner,,b110-b139,,
b1340,Funktioner för sömnmängd,,b134,,
b1341,Funktioner för insomning,,b134,,
b1342,Funktioner för sömnunderhåll,,b134,,
b1343,Funktioner för sömnkvalitet,,b134,,
b1344,Funktioner som omfattar sömncykeln,,b134,,
b1348,Andra specificerade sömnfunktioner,,b134,,
b1349,Ospecificerade sömnfunktioner,,b134,,
b139,Andra specificerade och ospecificerade övergripande psykiska funktioner,,b110-b139,,
b140,Uppmärksamhetsfunktioner,,b140-b189,,
b140-b189,Specifika psykiska funktioner,,b1,,
b1400,Funktioner för att vidmakthålla uppmärksamhet,,b140,,
b1401,Funktioner för att skifta uppmärksamhet,,b140,,
b1402,Funktioner för delad uppmärksamhet,,b140,,
b1403,Funktioner för gemensam uppmärksamhet,,b140,,
b1408,Andra specificerade uppmärksamhetsfunktioner,,b140,,
b1409,Ospecificerade uppmärksamhetsfunktioner,,b140,,
b144,Minnesfunktioner,,b140-b189,,
b1440,Funktioner för korttidsminne,,b144,,
b1441,Funktioner för långtidsminne,,b144,,
b1442,Funktioner för återkallande och bearbetning av minne,,b144,,
b1443,Funktioner för arbetsminne,,b144,,
b1448,Andra specificerade minnesfunktioner,,b144,,
