code,label,label_en,parent_code,valid_from,valid_to
008-,Tarminfektion orsakad av känd mikroorganism,,01,,
009-,"Tarminfektion, ofullständigt definierad",,01,,
011-,Tuberkulos,,01,,
033-,Kikhosta,,01,,
034-,Streptokockhalsfluss och scharlakansfeber,,01,,
035-,Rosfeber,,01,,
041A,Infektion orsakad av streptokocker,,01,,
041B,Infektion orsakad av stafylokocker,,01,,
041C,Infektion orsakad av pneumokocker,,01,,
041D,Infektion orsakad av Friedländers bacill,,01,,
041E,Infektion orsakad av Escherichia coli,,01,,
041F,Infektion orsakad av Haemophilus influenzae,,01,,
041G,"Infektion orsakad av Proteus (mirabilis, morganii)",,01,,
041H,Infektion orsakad av Pseudomonas,,01,,
041W,Infektion orsakad av andra specificerade bakterier,,01,,
045-,Polio och andra enterovirussjd i centrala nervsystemet,,01,,
052-,Vattkoppor,,01,,
053-,Bältros,,01,,
054-,Herpes simplex,,01,,
055-,Mässling,,01,,
056-,Röda hund,,01,,
057-,Andra hudutslag orsakade av virus,,01,,
070-,Virushepatit,,01,,
072-,Påssjuka,,01,,
075-,Körtelfeber,,01,,
077-,Konjunktivit orsakad av virus eller klamydier,,01,,
078B,"Virusvårtor, alla lokalisationer",,01,,
078J,Klamydiainfektion i urogenitalorganen,,01,,
079-,Annan eller ospecificerad virussjukdom,,01,,
084-,"Malaria, alla former",,01,,
090-,"Syfilis, alla lokalisationer och stadier",,01,,
098-,"Gonokockinfektion, alla lokalisationer",,01,,
099E,Icke-gonorroisk uretrit,,01,,
110-,Hudsvampsjukdom,,01,,
112-,Torsk,,01,,
112B,Urogenital candidainfektion,,01,,
127-,Masksjukdom,,01,,
131A,Urogenital trikomonasinfektion,,01,,
132-,Lusangrepp,,01,,
133-,Skabb och andra akarinoser,,01,,
135-,Sarkoidos,,01,,
136R,Andra infektionssjukdomar och parasitsjukdomar,,01,,
151-,Magsäckscancer,,02,,
153-,Tjocktarms- och ändtarmscancer,,02,,
162-,"Cancer i struphuvud, luftstrupe, luftrör och lunga",,02,,
173-,Hudcancer,,02,,
174-,Bröstcancer,,02,,
180-,Cancer i kvinnliga könsorgan,,02,,
185-,Prostatacancer,,02,,
188-,Cancer i urinblåsa och njure samt i manliga könsorgan,,02,,
199R,Andra maligna tumörer,,02,,
201-,Cancer i lymfatisk och blodbildande vävnad,,02,,
214-,"Fettsvulst, alla lokalisationer",,02,,
216-,Hudtumör,,02,,
217-,Godartad brösttumör,,02,,
218-,Muskelsvulst i livmodern,,02,,
228-,"Blodkärlssvulst och lymfkärlssvulst,alla lokalisationer",,02,,
229R,Andra godartade tumörer,,02,,
239R,Tumör av ännu oklar natur,,02,,
240-,Struma och icke giftig knölstruma,,03,,
242-,Överfunktion hos sköldkörteln,,03,,
244-,"Hypotyreos, medfödd eller förvärvad",,03,,
250-,Diabetes,,03,,
260-,Näringsbristsjukdomar,,03,,
272-,Rubbningar i fettomsättningen,,03,,
274-,Gikt,,03,,
278-,Fetma och andra övernäringstillstånd,,03,,
279R,Andra rubbningar i ämnesomsättning eller immunbristsjd,,03,,
280-,Järnbristanemi,,04,,
281-,Perniciös anemi och andra bristanemier,,04,,
282-,Ärftlig hemolytisk anemi,,04,,
285R,Andra och ospecificerade anemier,,04,,
287-,"Koagulationsrubbniningar, trombocytsjukdom och purpura",,04,,
288-,Sjukdomar i vita blodkroppar,,04,,
289B,Kronisk och ospecifik lymfadenit,,04,,
289R,Andra sjukdomar i blod eller blodbildande organ,,04,,
294-,Organisk psykos,,05,,
295-,"Schizofreni, alla typer",,05,,
296-,Affektiv psykos,,05,,
298-,Reaktiv psykos,,05,,
299-,Barndomspsykos,,05,,
300A,Ångestneuros,,05,,
300B,"Hysteriska, hypokondriska och psykosomatiska störningar",,05,,
300E,Neurotisk depression,,05,,
300R,Andra neuroser,,05,,
301-,Personlighetsstörning,,05,,
302-,Psykogen sexuell störning,,05,,
303-,Alkoholberoende,,05,,
304-,Drogberoende,,05,,
305A,"Alkoholmissbruk, akut",,05,,
305B,Tobaksmissbruk,,05,,
307E,Sömnsvårigheter och specifika sömnstörningar,,05,,
307G,Enures,,05,,
307H,Enkopres,,05,,
307W,Spänningshuvudvärk och annan psykogen smärta,,05,,
308-,Krisreaktion,,05,,
312-,Beteende- och emotionell störning i barn- och ungdomsår,,05,,
314-,Hyperkinetiska syndrom i barndomen,,05,,
315-,Specifika störningar i utvecklingen,,05,,
316R,Andra psykiska och psykologiska störningar,,05,,
317-,Psykisk utvecklingsstörning,,05,,
332-,Parkinsons sjukdom,,06,,
340-,Multipel skleros,,06,,
345-,"Epilepsi, alla typer",,06,,
346-,Migrän och annan vaskulär huvudvärk,,06,,
355R,Andra sjukdomar  i nervsystemet,,06,,
365-,Grön starr,,06,,
366-,Grå starr,,06,,
367-,Brytningsfel,,06,,
369-,Blindhet eller synnedsättning,,06,,
372A,Bindhinnekatarr,,06,,
373A,Inflammation i ögonlocken,,06,,
378R,Andra ögonsjukdomar,,06,,
380B,Extern otit,,06,,
380E,Vaxpropp,,06,,
381B,Icke varig inflammation i mellanörat,,06,,
381F,Inflammation eller tilltäppning av örontrumpeten,,06,,
382A,Varig mellanöreinflammation,,06,,
386-,Yrselsyndrom och labyrintsjukdomar,,06,,
387-,"Otoskleros, hörselnedsättning UNS",,06,,
388R,Andra öronsjukdomar,,06,,
390-,Reumatisk hjärtsjukdom,,07,,
401-,Okomplicerad hypertoni,,07,,
402-,Hypertoni med komplikationer,,07,,
410-,Akut hjärtinfarkt,,07,,
412-,Kronisk ischemisk hjärtsjukdom,,07,,
415-,Akut lungemboli,,07,,
416-,Kroniskt sjukdomstillstånd inom lungcirkulationen,,07,,
424-,Sjukdomar i endokardiet (kroniska),,07,,
427A,Paroxysmal takykardi,,07,,
427D,Förmaksflimmer och förmaksfladder,,07,,
427G,Extraslag,,07,,
428-,Hjärtsvikt,,07,,
429R,Andra hjärtsjukdomar,,07,,
435-,Övergående cerebral ischemi,,07,,
438-,Annan cerebrovaskulär sjukdom,,07,,
440-,Ateroskleros,,07,,
443-,Artärocklusion eller annan sjukdom i perifera kärl,,07,,
451-,Flebit och tromboflebit,,07,,
454-,Åderbråck i nedre extremiteter,,07,,
455-,Hemorrojder,,07,,
458A,Lågt blodtryck,,07,,
459R,Andra sjukdomar i perifera blodkärl,,07,,
460-,Övre luftvägsinfektion,,08,,
461-,Bihåleinflammation,,08,,
463-,Tonsillinflammation och halsböld,,08,,
464-,Inflammation i struphuvud och luftstrupe,,08,,
466-,Akut luftrörskatarr,,08,,
474-,Kroniska sjukdomar i tonsiller och adenoider,,08,,
477-,Allergisk rinit,,08,,
486-,Lunginflammation,,08,,
487-,Influensa,,08,,
491-,Kronisk luftrörskatarr,,08,,
492-,Emfysem och kronisk obstruktiv lungsjukdom UNS,,08,,
493-,Astma,,08,,
511-,Lungsäcksinflammation,,08,,
519R,Andra sjukdomar i andningsorganen,,08,,
520-,Sjukdomar i tänder och deras stödjevävnad,,09,,
528-,"Sjukdom i mun, tunga och spottkörtel",,09,,
530-,Matstrupens sjukdomar,,09,,
532-,Sår i tolvfingertarmen,,09,,
533-,Magsår utom i tolvfingertarmen,,09,,
536-,Andra sjukdomar i magsäck och tolvfingertarm,,09,,
540-,Blindtarmsinflammation,,09,,
550-,Ljumskbråck,,09,,
551-,Diafragmabråck,,09,,
553-,Andra bukbråck,,09,,
555-,"Regional inflammation i tarm, sårig inflamm i tjocktarm",,09,,
558-,"Funktionell tarmsjd,an icke-infek inflam magsäck o tarm",,09,,
562-,Fickbildning i tarmen,,09,,
564A,Förstoppning,,09,,
564G,Rektal och anal smärta,,09,,
565-,"Spricka, fistel, varbildning i stolgångsområdet",,09,,
569D,Blödning i rektum och anus UNS,,09,,
571-,Skrumplever och andra leversjukdomar,,09,,
574-,Sjukdomar i gallblåsa och gallvägar,,09,,
578-,Hematemes och melena,,09,,
579R,Andra sjukdomar i matsmältningsorganen,,09,,
580-,Nefrit och nefros,,10,,
590B,Akut pyelonefrit,,10,,
592-,Sten i urinvägar,,10,,
593G,Lägesbetingad äggvita i urinen,,10,,
595-,Blåskatarr och  urinvägsinfektion,,10,,
597-,Urinrörskatarr och uretrasyndrom,,10,,
598R,Andra sjukdomar i njurar och urinvägar,,10,,
599H,Blod i urinen,,10,,
600-,Prostataförstoring,,10,,
601-,Inflammation i prostata och sädesblåsa,,10,,
603-,Vattenbråck,,10,,
