code,label,label_en,parent_code,valid_from,valid_to
A,"Utredning, anatomiskt perspektiv",,,,
AA,"Nervsystemet, kraniet och intrakraniella strukturer",,A,,
AA001,Adenosintest,,AA,,
AA002,Algometri,,AA,,
AA003,"Amplitudintegrerat EEG, långtidsövervakning",,AA,,
AA004,Angiografi av a. vertebralis,,AA,,
AA005,Angiografi av a. carotis interna,,AA,,
AA006,"Angiografi av skalle, kombination av två eller flera angiografier",,AA,,
AA007,"Angiografi, spinal, 1-3 kärl",,AA,,
AA008,"Angiografi, spinal, 10 eller flera kärl",,AA,,
AA009,"Angiografi, spinal, 4-9 kärl",,AA,,
AA010,Angiografisk undersökning med frågeställning upphävd intracerebral cirkulation,,AA,,
AA011,"Datortomografi, hjärna",,AA,,
AA012,"Datortomografi, hjärna, med intravenös kontrast",,AA,,
AA013,"Datortomografi, hjärna, med kontrast i cisterner",,AA,,
AA014,"Datortomografi, hjärna, utan intravenös kontrast",,AA,,
AA015,"Datortomografi, sella turcica",,AA,,
AA016,"Datortomografi, skallbas",,AA,,
AA017,"Datortomografi, skalle, sinus, ansiktsskelett",,AA,,
AA018,Dopplerundersökning av hjärnans kärl,,AA,,
AA019,Dynamisk likvortryckundersökning,,AA,,
AA020,Ekoencefalografi (A-mode),,AA,,
AA021,Elektroencefalografi (EEG) med reaktionstidsmätning eller annat uppmärksamhetstest,,AA,,
AA022,"Elektroencefalografi (EEG), sfenoidal",,AA,,
AA023,"Elektroencefalografi (EEG), sovande",,AA,,
AA024,"Elektroencefalografi (EEG), vaken",,AA,,
AA025,Elektromyografi (EMG) UNS,,AA,,
AA026,Elektromyografi (EMG) vid botulinumtoxinbehandling,,AA,,
AA027,"Elektromyografi (EMG), nål",,AA,,
AA028,"Elektromyografi (EMG), Single Fibre",,AA,,
AA029,Elektromyografi inklusive mätning av nervledningshastighet (CV-EMG),,AA,,
AA030,Elektromyografi med ytelektroder (Yt-EMG),,AA,,
AA031,Elektronystagmografi och videonystagmografi,,AA,,
AA032,"Encefalografi, cisternografi",,AA,,
AA033,"Enfotonstomografi (SPECT), hjärna",,AA,,
AA034,Epidurografi,,AA,,
AA035,Flebografi av annan ven inom nervsystemet (utan egen kod),,AA,,
AA036,Flebografi av vena jugularis,,AA,,
AA037,"Flebografi, spinal",,AA,,
AA038,Hjärnstamsaudiometri,,AA,,
AA039,Klinisk undersökning av nervsystemet,,AA,,
AA041,Klinisk undersökning för att diagnostisera upphävd hjärnfunktion,,AA,,
AA042,Kortikografi,,AA,,
AA043,L-Dopa-test,,AA,,
AA045,"Magnetresonanstomografi, hjärna",,AA,,
AA046,"Magnetresonanstomografi, hjärna, diffusion",,AA,,
AA047,"Magnetresonanstomografi, hjärna, perfusion",,AA,,
AA048,"Magnetresonanstomografi, hjärna, spektroskopi",,AA,,
AA049,"Magnetresonanstomografi, sella turcica",,AA,,
AA050,"Magnetresonanstomografi, skallbas",,AA,,
AA051,"Magnetresonanstomografi, skalle, sinus och ansiktsskelett",,AA,,
AA052,Screeningtest av kognitiva funktioner,,AA,,
AA053,"Myelografi, cervikal",,AA,,
AA054,"Myelografi, lumbal",,AA,,
AA055,"Myelografi, lumbotorakal",,AA,,
AA056,"Myelografi, torakal",,AA,,
AA057,"Myelografi, total",,AA,,
AA058,"Neurografi, motorisk och sensorisk",,AA,,
AA059,Neuronavigation,,AA,,
AA060,Neuropsykologisk utredning,,AA,,
AA062,"Pneumografi, subdural",,AA,,
AA063,"Positronemissionstomografi (PET), hjärna",,AA,,
AA064,Punktion av ventrikel i hjärnan,,AA,,
AA066,"Röntgenundersökning, ansiktsskelett eller del därav (överkäke, näsben, orbita)",,AA,,
AA067,"Röntgenundersökning, porus acusticus",,AA,,
AA068,"Röntgenundersökning, sella turcica",,AA,,
AA069,"Röntgenundersökning, skalle, neurokranium",,AA,,
AA070,"Skintigrafi, abscess- och infektionslokalisation i nervsystem",,AA,,
AA071,"Skintigrafi, cerebralt blodflöde",,AA,,
AA072,"Skintigrafi, hjärna",,AA,,
AA073,"Skintigrafi, likvor- och shuntfunktion",,AA,,
AA074,"Skintigrafi, likvorcirkulation",,AA,,
AA075,"Skintigrafi, likvorläckage",,AA,,
AA076,"Skintigrafi, tumörlokalisation i nervsystem",,AA,,
AA077,"Skintigrafi, undersökning av nervsystem utan egen kod",,AA,,
AA078,Smärttest UNS,,AA,,
AA079,Termotest,,AA,,
AA080,Transtympanal hjärnstamsaudiometri preoperativt,,AA,,
AA081,"Tryckmätning, intracerebralt",,AA,,
AA082,"Tryckmätning, intraspinalt",,AA,,
AA083,"Ultraljudsundersökning, hjärna",,AA,,
AA084,"Ultraljudsundersökning, hjärnans ventrikelsystem",,AA,,
AA085,Undersökning med psykologiska och psykometriska instrument,,AA,,
AA086,Ventrikulografi,,AA,,
AA087,Vibrametri,,AA,,
