code,label,label_en,parent_code,valid_from,valid_to
00,Pre-MDC,PreMDC DRG,,,
01,Sjukdomar i nervsystemet,Diseases of nervous system,,,
02,Sjukdomar i öga och närliggande organ,Diseases and disorders of the eye,,,
03,"Sjukdomar i öra, näsa, mun och hals","Diseases and disorders of the ear, nose, mouth and throat",,,
04,Andningsorganens sjukdomar,Diseases and disorders of the respiratory system,,,
05,Cirkulationsorganens sjukdomar,Diseases and disorders of the circulatory system,,,
06,Matsmältningsorganens sjukdomar,Diseases and disorders of the digestive system,,,
07,"Sjukdomar i lever, gallvägar och bukspottkörtel",Diseases and disorders of the hepatobiliary system and pancreas,,,
08,"Sjukdomar i muskler, skelett och bindväv",Diseases and disorders of the musculoskeletal system and connective tissue,,,
09,Sjukdomar i hud och underhud,Diseases and disorders of the skin and subcutaneous tissue,,,
10,"Endokrina, metabola och nutritionssjukdomar","Endocrine, nutritional and metabolic diseases and disorders",,,
11,Sjukdomar i njure och urinvägar,Diseases and disorders of the kidney and urinary tract,,,
12,Sjukdomar i manliga könsorgan,Diseases and disorders of the male reproductive system,,,
13,Sjukdomar i kvinnliga könsorgan,Diseases and disorders of the female reproductive system,,,
14,"Graviditet, förlossning och barnsängstid","Pregnancy, childbirth and puerperium",,,
15,Nyfödda och vissa perinatala tillstånd,Newborns and other neonates with conditions originating in the perinatal period,,,
16,Blodsjukdomar och immunologiska rubbningar,Diseases and disorders of the blood and blood forming organs and immunological disorders,,,
17,Myeloproliferativa sjukdomar och icke specificerade tumörer,"Myeloproliferative diseases and disorders, poorly differentiated neoplasms",,,
18,Infektions- och parasitsjukdomar inklusive HIV,Infectious and parasitic diseases,,,
19,"Psykiska sjukdomar, beteendestörningar och alkohol- eller drogberoende",Mental diseases and disorders,,,
21,"Skador, förgiftningar och toxiska effekter","Injuries, poisonings and toxic effects of drugs",,,
22,Brännskador,Burns,,,
23,Andra hälsoproblem och kontakter med hälso- och sjukvården,Factors influencing health status and other contacts with health services,,,
24,Multipelt trauma utom ytliga skador och sårskador,Multiple significant trauma,,,
30,Bröstkörtelsjukdomar,Breast problem,,,
40,MDC-övergripande problem i öppenvård,MDC overlapping groups,,,
50,Vårdgivarberoende grupper i öppenvård,Caregiver dependant groups,,,
98,Sjukdomar i manliga/kvinnliga könsorgan,Diseases and disorders of male/female reprodutive organs,,,
99,Ospecifik eller felaktig information,Unspecific or erroneous information,,,
