vardekod,vardebenamning
0,Militärt arbete
01,Militärt arbete
011,Militärer
0110,Militärer
1,Ledningsarbete
11,Politiskt arbete m.m.
111,Högre ämbetsmän och politiker
1110,Högre ämbetsmän och politiker
112,Chefstjänstemän i intresseorganisationer
1120,Chefstjänstemän i intresseorganisationer
12,"Ledningsarbete i stora och medelstora företag, myndigheter m.m."
121,"Verkställande direktörer, verkschefer m.fl."
1210,"Verkställande direktörer, verkschefer m.fl."
122,Drift- och verksamhetschefer
1221,"Driftchefer inom jordbruk, trädgård, skogsbruk och fiske"
1222,"Driftchefer inom tillverkning, el-, värme- och vattenförsörjning m.m."
1223,Driftchefer inom byggverksamhet
1224,"Driftchefer inom handel, hotell och restaurang, transport och kommunikation"
1225,"Driftchefer inom finansiell verksamhet, fastighetsbolag, företagstjänster m.m."
1226,Verksamhetschefer inom offentlig förvaltning m.m.
1227,Verksamhetschefer inom utbildning
1228,Verksamhetschefer inom vård och omsorg
1229,Övriga drift- och verksamhetschefer
123,Chefer för särskilda funktioner
1231,Ekonomichefer och administrativa chefer
1232,Personalchefer
1233,Försäljnings- och marknadschefer
1234,Reklam- och PR-chefer
1235,Inköps- och distributionschefer
1236,IT-chefer
1237,Forsknings- och utvecklingschefer
1239,Övriga chefer inom specialområden
13,"Ledningsarbete i mindre företag, myndigheter m.m."
131,Chefer för mindre företag och enheter
1311,"Chefer för mindre företag inom jordbruk, trädgård, skogsbruk och fiske"
1312,"Chefer för mindre företag inom tillverkning, el-, värme- och vattenförsörjning m.m."
1313,Chefer för mindre byggföretag
1314,"Chefer för mindre företag inom handel, hotell och restaurang, transport och kommunikation"
1315,"Chefer för mindre företag inom finansiell verksamhet, fastighetsbolag, företagstjänster m.m."
1316,Chefer för mindre enheter inom offentlig förvaltning m.m.
1317,Chefer för mindre enheter inom utbildning
1318,Chefer för mindre enheter inom vård och omsorg
1319,Chefer för övriga mindre företag och enheter
2,Arbete som kräver teoretisk specialistkompetens
21,Arbete som kräver teoretisk specialistkompetens inom teknik och datavetenskap m.m.
211,"Fysiker, kemister m.fl."
2111,Fysiker och astronomer
2112,Meteorologer
2113,Kemister
2114,"Geologer, geofysiker m.fl."
212,Matematiker och statistiker
2121,Matematiker
2122,Statistiker
213,Dataspecialister
2131,Systemerare och programmerare
2139,Övriga dataspecialister
214,"Civilingenjörer, arkitekter m.fl."
2141,Arkitekter och stadsplanerare
2142,"Civilingenjörer m.fl., bygg och anläggning"
2143,"Civilingenjörer m.fl., elkraft"
2144,"Civilingenjörer m.fl., elektronik och teleteknik"
2145,"Civilingenjörer m.fl., maskin"
2146,"Civilingenjörer m.fl., kemi"
2147,"Civilingenjörer m.fl., gruvteknik och metallurgi"
2148,Lantmätare
2149,Övriga civilingenjörer m.fl.
22,"Arbete som kräver teoretisk specialistkompetens inom biologi, hälso- och sjukvård"
221,"Specialister inom biologi, jord- och skogsbruk m.m."
2211,Biologer
2212,Farmakologer m.fl.
2213,Agronomer och hortonomer
2214,Jägmästare m.fl.
222,Hälso- och sjukvårdsspecialister
2221,Läkare
2222,Tandläkare
2223,Veterinärer
2224,Apotekare
2225,Logopeder
2229,Övriga hälso- och sjukvårdsspecialister
223,Barnmorskor. sjuksköterskor med särskild kompetens
2231,Barnmorskor
2232,"Avdelningschefer, vårdavdelning/mottagning"
2233,Akutsjuksköterskor m.fl.
2234,Barnsjuksköterskor
2235,Distriktssköterskor
2236,Andra sjuksköterskor med särskild kompetens
23,"Lärararbete inom universitet, gymnasie- och grundskola"
231,Universitets- och högskollärare
2310,Universitets- och högskollärare
232,Gymnasielärare m.fl.
2321,Gymnasielärare i allmänna ämnen
2322,Gymnasielärare i yrkesämnen
2323,Lärare i estetiska och praktiska ämnen
233,Grundskollärare
2330,Grundskollärare
234,Speciallärare
2340,Speciallärare
235,Andra pedagoger med teoretisk specialistkompetens
