vardekod,vardebenamning
0,Allmän utbildning
01,"Bred, generell utbildning"
010,"Bred, generell utbildning"
010a,"Bred, generell utbildning, allmän inriktning"
010b,"Bred, generell utbildning, samhällsvetenskaplig och humanistisk inriktning"
010c,"Bred, generell utbildning, naturvetenskaplig inriktning"
010x,"Bred, generell utbildning, annan inriktning"
08,Läs- och skrivinlärning för vuxna
080,Läs- och skrivinlärning för vuxna
080z,Läs- och skrivinlärning för vuxna
09,Personlig utveckling
090,Personlig utveckling
090z,Personlig utveckling
1,Pedagogik och lärarutbildning
14,Pedagogik och lärarutbildning
140,"Pedagogik och lärarutbildning, allmän utbildning"
140z,"Pedagogik och lärarutbildning, allmän utbildning"
142,Pedagogik
142z,Pedagogik
143,Lärarutbildning för förskola och fritidsverksamhet
143a,"Lärarutbildning, inriktning förskola"
143b,"Lärarutbildning, inriktning fritidsverksamhet"
143x,Annan lärarutbildning för förskola och fritidsverksamhet
144,Lärarutbildning för grundskolans lägre åldrar
144a,"Lärarutbildning, grundskolans lägre åldrar, allmän ämnesinriktning"
144b,"Lärarutbildning, grundskolans lägre åldrar, matematik och naturorienterande ämnen"
144c,"Lärarutbildning, grundskolans lägre åldrar, svenska och samhällsorienterade ämnen"
144x,Annan lärarutbildning för grundskolans lägre åldrar
145,Ämneslärarutbildning
145a,"Ämneslärarutbildning, matematik, data och naturvetenskap"
145b,"Ämneslärarutbildning, historia, samhällsvetenskap och ekonomi"
145c,"Ämneslärarutbildning, språk "
145d,"Ämneslärarutbildning, matematik, data, och naturvetenskap i kombination med historia, samhällsvetenskap och ekonomi "
145e,"Ämneslärarutbildning, matematik, data, och naturvetenskap i kombination med språk"
145f,"Ämneslärarutbildning, historia, samhällsvetenskap och ekonomi i kombination med språk"
145g,"Ämneslärarutbildning, matematik, data och naturvetenskap i kombination praktisk-estetiska ämnen "
145h,"Ämneslärarutbildning, historia, samhällsvetenskap och ekonomi i kombination med praktisk-estetiska ämnen "
145i,"Ämneslärarutbildning, språk, i kombination med praktisk-estetiska ämnen "
145x,Annan ämneslärarutbildning
146,Lärarutbildning i yrkesämne och praktisk-estetiska ämnen
146a,"Lärarutbildning, industri och hantverk"
146b,"Lärarutbildning, handel och administration"
146c,"Lärarutbildning, hotell och restaurang"
146d,"Lärarutbildning, livsmedel och konditori"
146e,"Lärarutbildning, naturbruk"
146f,"Lärarutbildning, vård och omsorg"
146g,"Lärarutbildning, medieproduktion"
146h,"Lärarutbildning, musik"
146i,"Lärarutbildning, bild och formkonst"
146j,"Lärarutbildning, dans och teater"
146k,"Lärarutbildning, trä- och metallslöjd samt textilslöjd"
