vardekod,vardebenamning
1,"Jordbruk, skogsbruk, jakt och fiske"
11,"Jordbruk, jakt"
111,"Jordbruk, trädgårdsodling"
1110,"Jordbruk, trädgårdsodling"
11101,Åkerbruk och husdjursskötsel
111010,Åkerbruk och husdjursskötsel
11102,Trädgårdsodling och -skötsel
111020,Trädgårdsodling och -skötsel
11103,Renskötsel
111030,Renskötsel
11104,Pälsdjursskötsel
111040,Pälsdjursskötsel
11105,Annan djurskötsel
111050,Annan djurskötsel
112,Tjänster inom jordbruk
1120,Tjänster inom jordbruk
11200,Tjänster inom jordbruk
112000,Tjänster inom jordbruk
113,"Jakt, viltvård"
1130,"Jakt, viltvård"
11300,"Jakt, viltvård"
113000,"Jakt, viltvård"
12,Skogsbruk
121,"Skogsbruk, kolning"
1210,"Skogsbruk, kolning"
12101,Skogsvård
121010,Skogsvård
12102,"Kolning, insamling av skogsväxter"
121020,"Kolning, insamling av skogsväxter"
122,"Skogsavverkning, flottning"
1220,"Skogsavverkning, flottning"
12201,"Skogsavverkning, virkesmätning"
122010,"Skogsavverkning, virkesmätning"
12202,Flottning
122020,Flottning
13,"Fiske, fiskevård"
130,"Fiske, fiskevård"
1301,Havs- och kustfiske
13010,Havs- och kustfiske
130100,Havs- och kustfiske
1302,"Övrigt fiske, fiskevård"
13020,"Övrigt fiske, fiskevård"
130200,"Övrigt fiske, fiskevård"
2,Brytning av mineraliska produkter
21,Kolbrytning
210,Kolbrytning
2100,Kolbrytning
21000,Kolbrytning
210000,Kolbrytning
22,Råpetroleum- och naturgasutvinning
220,Råpetroleum- och naturgasutvinning
2200,Råpetroleum- och naturgasutvinning
22000,Råpetroleum- och naturgasutvinning
220000,Råpetroleum- och naturgasutvinning
23,Malmbrytning
230,Malmbrytning
2301,Järnmalmsbrytning
23010,Järnmalmsbrytning
230100,Järnmalmsbrytning
2302,Brytning av ickejärnmalmer
23020,Brytning av ickejärnmalmer
230200,Brytning av ickejärnmalmer
29,Annan brytning och utvinning
290,Annan brytning och utvinning
2901,"Stenbrytning,sandtäkt"
29010,"Stenbrytning, grus-, sand- och lertäkt"
290101,Stenbrytning
290102,"Grus-, sand- och lertäkt"
2902,Brytning av kemiska råvaror för bearbetning
29020,Brytning av kemiska råvaror för bearbetning
290200,Brytning av kemiska råvaror för bearbetning
2903,Saltutvinning
29030,Saltutvinning
290300,Saltutvinning
2909,"Brytning och utvinning av kvarts, torv m m"
29090,"Brytning och utvinning av kvarts, torv m m"
290900,"Brytning och utvinning av kvarts, torv m m"
3,Tillverkning
31,"Livsmedels-, dryckesvaru- och tobaksvarutillverkning"
311,Livsmedelstillverkning
3111,"Slakt, köttvarutillverkning"
31111,Slakt
311111,Kreatursslakt
311112,Fjäderfäslakt
31112,Kött- och fläskvarutillverkning
311120,Kött- och fläskvarutillverkning
3112,Mejerivarutillverkning
31121,Mjölkförädling
311210,Mjölkförädling
31122,Glasstillverkning
311220,Glasstillverkning
3113,Frukt- och grönsakskonservering
31130,Frukt- och grönsakskonservering
311300,Frukt- och grönsakskonservering
3114,"Fiskberedning, fiskkonservering"
31140,"Fiskberedning, fiskkonservering"
311400,"Fiskberedning, fiskkonservering"
3115,Olje- och fett-tillverkning
31151,Margarintillverkning
311510,Margarintillverkning
31159,Annan olje- och fett-tillverkning
311590,Annan olje- och fett-tillverkning
3116,Tillverkning av kvarnprodukter
31160,Tillverkning av kvarnprodukter
311600,Tillverkning av kvarnprodukter
3117,Bagerivarutillverkning
31171,Knäckebrödstillverkning
311710,Knäckebrödstillverkning
31179,Annan bagerivarutillverkning
311791,Tillverkning av mjukt matbröd
311792,Tillverkning av finare bakverk
3118,Sockertillverkning
31180,Sockertillverkning
311801,Råsockertillverkning
311802,Sockerraffinering
311803,Direkttillv. av bit- och strösocker
3119,Choklad- och konfekttillverkning
31190,Choklad- och konfekttillverkning
311901,Tillverkning av sockerkonfektyrer
311902,"Tillverkning av choklad, chokladkonfektyrer"
312,Livsmedelstillverkning
3121,Övrig livsmedelstillverkning
31211,Stärkelsetillverkning
312110,Stärkelsetillverkning
31212,Kafferostning
312120,Kafferostning
31219,Tillverkning av andra livsmedel
312190,Tillverkning av andra livsmedel
3122,Tillverkning av beredda fodermedel
31220,Tillverkning av beredda fodermedel
312200,Tillverkning av beredda fodermedel
313,Dryckesvarutillverkning
3131,Spritdryckstillverkning
31311,Tillverkning av råsprit ur jordbruksvaror
313110,Tillverkning av råsprit ur jordbruksvaror
31312,Tillverkning av spritdrycker
313120,Tillverkning av spritdrycker
3132,Vintillverkning
31320,Vintillverkning
313200,Vintillverkning
3133,Maltdryckstillverkning
31330,Maltdryckstillverkning
313300,Maltdryckstillverkning
3134,Mineralvatten- och läskedryckstillverkning
31340,Mineralvatten- och läskedryckstillverkning
313400,Mineralvatten- och läskedryckstillverkning
314,Tobaksvarutillverkning
3140,Tobaksvarutillverkning
31400,Tobaksvarutillverkning
314000,Tobaksvarutillverkning
32,"Textil-, beklädnads-, läder- och lädervarutillverkning"
321,Textilvarutillvekrning
3211,"Garn- och vävnadstillverkning, textilberedning"
32111,Garntillverkning
321110,Garntillverkning
32112,Vävnadstillverkning (utom trikåväv)
321121,"Tillverkning av band, snörmakeriarbeten"
321129,Övrig vävnadstillverkning
32113,"Blekning, färgning och annan textilberedning"
321130,"Blekning, färgning och annan textilberedning"
3212,"Textilsömnad, utom beklädnadstillverkning"
32120,Sömnad (utom beklädnadstillverkning)
321201,"Sömnad av gardiner, sängkläder, linnevaror"
321209,Textilsömnad av annat slag
3213,Trikåvarutillverkning
32130,Trikåvarutillverkning
321301,Damstrumptillverkning
321309,Övrig trikåvarutillverkning
3214,Tillverkning av mattor
32140,Tillverkning av mattor
321400,Tillverkning av mattor
3215,Tågvirkes- och/eller bindgarnstillverkning
32150,Tågvirkes- och/eller bindgarnstillverkning
321500,Tågvirkes- och/eller bindgarnstillverkning
3219,Övrig textilvarutillverkning
32190,Övrig textilvarutillverkning
321901,Tillverkning av belagda och impregnerade textilvaror
321909,Tillverkning av övriga textilvaror
322,Tillverkning av kläder
3220,Tillverkning av kläder
32201,Tillverkning av huvudbonader
322010,Tillverkning av hattar och mössor
32202,Tillverkning av läderkläder
322020,Tillverkning av läderkläder
32203,Tillverkning av pälskläder
322030,Tillverkning av pälskläder
32204,Tillverkning av textilöverkläder
322041,"Tillverkning av rockar, kostymer, byxor"
322042,"Tillverkning av kappor, dräkter, kjolar"
322043,"Tillverkning av klänningar, blusar"
322049,Tillverkning av övriga textilöverkläder
32205,"Tillverkning av skjortor, underkläder"
322051,Tillverkning av skjortor
322052,Tillverkning av underkläder
32206,Lönsömnad
322060,Lönsömnad
32209,Annan tillverkning av kläder
322091,"Tillverkning av korsetter, gördlar, hängslen"
322099,Tillverkning av övriga kläder
323,"Tillverkning av läder och pälsskinn, reseffekter, handväskor o l"
3231,Lädertillverkning
32310,Lädertillverkning
323100,Lädertillverkning
3232,Pälsberedning
32320,Pälsberedning
323200,Pälsberedning
3233,"Tillverkning av reseffekter, handväskor o l"
32330,"Tillverkning av reseffekter, handväskor o l"
323300,"Tillverkning av reseffekter, handväskor o l"
324,Skotillverkning
3240,Skotillverkning
32400,Skotillverkning
324000,Skotillverkning
33,Trävarutillverkning
331,"Trävarutillverkning, utom möbeltillverkning"
3311,Trämaterial- och byggnadssnickeritillverkning
33111,"Sågning, hyvling, träimpregnering"
331111,"Sågning, hyvling"
331112,Träimpregnering
33112,"Trähus-, byggnadssnickeritillverkning"
331121,Tillverkning av monteringsfärdiga trähus
331122,Byggnads- och inredningssnickeritillverkning
33119,Annan trämaterialtillverkning
331191,"Tillverkning av fanér, kryssfanér, lamellträ"
331192,Tillverkning av spånskivor
331199,Tillverkning av övriga trämaterial
