vardekod,vardebenamning
01Z,Folkskoleutbildning och motsvarande
01ZA,Folkskoleutbildning och motsvarande
02Z,Grundskoleutbildning och motsvarande
02ZA,Grundskoleutbildning och motsvarande
03A,"Samhällsvetenskaplig, social och humanistisk gymnasieutbildning"
03AA,"Samhällsvetenskaplig, social och humanistisk gymnasieutbildning"
03N,Naturvetenskaplig gymnasieutbildning
03NA,Naturvetenskaplig gymnasieutbildning
13Z,Gymnasial utbildning inom pedagogik och lärarutbildning
13ZA,Gymnasieutbildning inom pedagogik och lärarutbildning
14P,"Minst 30 högskolepoäng inom pedagogik och lärarutbildning, ej examen"
14PH,"180 eller fler högskolepoäng inom pedagogik och lärarutbildning, ej examen"
14PL,"30-179 högskolepoäng inom pedagogik och lärarutbildning, ej examen"
15B,Förskollärarutbildning
15BA,Förskollärarutbildning
15F,Fritidspedagogutbildning
15FA,Fritidspedagogutbildning
15G,Lärarutbildning för grundskolans tidiga åldrar
15GA,Lärarutbildning för grundskolans tidiga åldrar
15H,"Ämneslärarutbildning, allmänna ämnen"
15HA,"Ämneslärarutbildning, allmänna ämnen"
15P,Lärarutbildning i praktisk-estetiska ämnen
15PA,Lärarutbildning i praktisk-estetiska ämnen
15S,Speciallärar- och specialpedagogutbildning
15SA,Speciallärar- och specialpedagogutbildning
15V,Yrkeslärarutbildning
15VA,Yrkeslärarutbildning
15X,Övrig eftergymnasial utbildning inom pedagogik och lärarutbildning
15XA,Övrig eftergymnasial utbildning inom pedagogik och lärarutbildning
23E,Estetisk utbildning på gymnasial nivå
23EA,"Gymnasieutbildning, estetisk"
23M,Gymnasial utbildning för medieproduktion
23MA,Gymnasieutbildning inom medieproduktion
23XA,Övrig gymnasial utbildning inom humaniora och konst
24P,"Minst 30 högskolepoäng inom humaniora och konst, ej examen"
24PH,"180 eller fler högskolepoäng inom humaniora och konst, ej examen"
24PL,"30-179 högskolepoäng inom humaniora och konst, ej examen"
25H,Humanistisk högskoleutbildning (minst 3 år)
25HA,"Eftergymnasial utbildning inom historia och filosofi, minst 3 år"
25HB,"Eftergymnasial språk- och litteraturvetenskaplig utbildning, minst 3 år"
25K,Konstnärlig eftergymnasial utbildning
25KA,Eftergymnasial konstnärlig utbildning
25M,"Medieproduktion, eftergymnasial utbildning"
25MA,Eftergymnasial utbildning inom medieproduktion
25T,Teologisk eftergymnasial utbildning (minst 3 år)
25TA,"Eftergymnasial teologisk utbildning, minst 3 år"
25X,Övrig eftergymnasial utbildning inom humaniora och konst
25XA,Övrig eftergymnasial utbildning inom humaniora och konst
33E,Ekonomisk gymnasieutbildning
33EA,Gymnasieutbildning inom ekonomi
33H,Yrkesinriktad utbildning på gymnasial nivå inom handel och administration
33HA,Gymnasieutbildning inom handel och administration
33XA,"Övrig gymnasial utbildning inom samhällsvetenskap, juridik, handel och administration"
34P,"Minst 30 högskolepoäng inom samhällsvetenskap, ekonomi och juridik, ej examen"
34PH,"180 eller fler högskolepoäng inom samhällsvetenskap, ekonomi och juridik, ej examen"
34PL,"30-179 högskolepoäng inom samhällsvetenskap, ekonomi och juridik, ej examen"
34YA,Eftergymnasial yrkesutbildning inom ekonomi kortare än 3 år
34YB,Eftergymnasial yrkesutbildning inom administration kortare än 3 år
35B,Biblioteks- och informationsvetenskaplig högskoleutbildning (minst 3 år)
35BA,"Eftergymnasial utbildning inom biblioteks- och informationsvetenskap, minst 3 år"
35E,Ekonomutbildning (högskoleutbildning minst 3 år)
35EA,"Eftergymnasial ekonomutbildning, minst 3 år"
35F,"Högskoleutbildning inom organisation, administration och förvaltning (minst 3 år)"
35FA,"Eftergymnasial utbildning inom organisation, administration och förvaltning, minst 3 år"
35J,Juridisk högskoleutbildning (minst 3 år)
35JA,"Eftergymnasial utbildning inom juridik och rättsvetenskap, minst 3 år"
35M,Journalist- och medieutbildning (eftergymnasial)
35MA,Eftergymnasial journalist- och medieutbildning
35P,Högskoleutbildning i psykologi och psykoterapi (minst 3 år)
35PA,Psykolog- och psykoterapeututbildning
35PB,"Annan eftergymnasial utbildning i psykologi och psykoterapi, minst 3 år"
35S,Samhälls- och beteendevetenskaplig högskoleutbildning (minst 3 år)
35SA,"Eftergymnasial utbildning inom samhälls- och beteendevetenskap, minst 3 år"
35X,"Övrig eftergymnasial utbildning inom samhällsvetenskap, juridik, handel och administration"
35XA,"Övrig eftergymnasial utbildning inom samhällsvetenskap, juridik, handel och administration"
43Z,"Yrkesinriktad gymnasieutbildning inom naturvetenskap, matematik och IKT"
43ZA,"Yrkesinriktad gymnasieutbildning inom naturvetenskap, matematik och IKT"
44P,"Minst 30 högskolepoäng inom naturvetenskap, matematik och IKT ej examen"
44PH,"180 eller fler högskolepoäng inom naturvetenskap, matematik och IKT ej examen"
44PL,"30-179 högskolepoäng inom naturvetenskap, matematik och IKT ej examen"
45D,Programmerar- och systemerarutbildning (eftergymnasial)
45DA,"Eftergymnasial utbildning inom IKT, kortare än 3 år"
45DB,"Eftergymnasial utbildning inom IKT, minst 3 år"
45N,Naturvetenskaplig högskoleutbildning (minst 3 år)
45NA,"Eftergymnasial utbildning inom biologi och miljövetenskap, minst 3 år"
45NB,"Eftergymnasial utbildning inom fysik, matematik och statistik, minst 3 år"
45NC,"Eftergymnasial utbildning inom geovetenskap, minst 3 år"
45ND,"Eftergymnasial utbildning inom kemi, minst 3 år"
45X,"Övrig eftergymnasial utbildning inom naturvetenskap, matematik och IKT"
45XA,"Övrig eftergymnasial utbildning inom naturvetenskap, matematik och IKT"
53A,"Tekniskt gymnasium, 1-3 år"
53AA,"Tekniskt gymnasium, 1-3 år"
53B,Gymnasieutbildning inom bygg
53BA,Gymnasieutbildning inom bygg
53E,Gymnasieutbildning inom elektro- och datateknik
53EA,Gymnasieutbildning inom elektro- och datateknik
