vardekod,vardebenamning
01,FÖRGYMNASIAL UTBILDNING KORTARE ÄN 9 ÅR
02,FÖRGYMNASIAL UTBILDNING 9(10) ÅR ELLER MOTSVARANDE
03,GYMNASIAL UTBILDNING HÖGST 2-ÅRIG
04,GYMNASIAL UTBILDNING LÄNGRE ÄN 2 ÅR
09,OSPECIFICERAD NIVÅ
13,GYMNASIAL UTBILDNING HÖGST 2-ÅRIG
14,GYMNASIAL UTBILDNING LÄNGRE ÄN 2 ÅR
15,EFTERGYMNASIAL UTBILDNING MINDRE ÄN 3 ÅR
16,EFTERGYMNASIAL UTBILDNING 3 ÅR ELLER LÄNGRE
17,FORSKARUTBILDNING (MOTSV)
19,OSPECIFICERAD NIVÅ
23,GYMNASIAL UTBILDNING HÖGST 2-ÅRIG
24,GYMNASIAL UTBILDNING LÄNGRE ÄN 2 ÅR
25,EFTERGYMNASIAL UTBILDNING MINDRE ÄN 3 ÅR
26,EFTERGYMNASIAL UTBILDNING 3 ÅR ELLER LÄNGRE
29,OSPECIFICERAD NIVÅ
33,GYMNASIAL UTBILDNING HÖGST 2-ÅRIG
34,GYMNASIAL UTBILDNING LÄNGRE ÄN 2 ÅR
35,EFTERGYMNASIAL UTBILDNING MINDRE ÄN 3 ÅR
36,EFTERGYMNASIAL UTBILDNING 3 ÅR ELLER LÄNGRE
37,FORSKARUTBILDNING
39,OSPECIFICERAD NIVÅ
43,GYMNASIAL UTBILDNING HÖGST 2-ÅRIG
44,GYMNASIAL UTBILDNING LÄNGRE ÄN 2 ÅR
45,EFTERGYMNASIAL UTBILDNING MINDRE ÄN 3 ÅR
46,EFTERGYMNASIAL UTBILDNING 3 ÅR ELLER LÄNGRE
47,FORSKARUTBILDNING
49,OSPECIFICERAD NIVÅ
53,GYMNASIAL UTBILDNING HÖGST 2-ÅRIG
54,GYMNASIAL UTBILDNING LÄNGRE ÄN 2 ÅR
55,EFTERGYMNASIAL UTBILDNING MINDRE ÄN 3 ÅR
56,EFTERGYMNASIAL UTBILDNING 3 ÅR ELLER LÄNGRE
59,OSPECIFICERAD NIVÅ
63,GYMNASIAL UTBILDNING HÖGST 2-ÅRIG
64,GYMNASIAL UTBILDNING LÄNGRE ÄN 2 ÅR
65,EFTERGYMNASIAL UTBILDNING MINDRE ÄN 3 ÅR
66,EFTERGYMNASIAL UTBILDNING 3 ÅR ELLER LÄNGRE
67,FORSKARUTBILDNING
69,OSPECIFICERAD NIVÅ
73,GYMNASIAL UTBILDNING HÖGST 2-ÅRIG
74,GYMNASIAL UTBILDNING LÄNGRE ÄN 2 ÅR
75,EFTERGYMNASIAL UTBILDNING MINDRE ÄN 3 ÅR
76,EFTERGYMNASIAL UTBILDNING 3 ÅR ELLER LÄNGRE
77,FORSKARUTBILDNING
79,OSPECIFICERAD NIVÅ
83,GYMNASIALUTBILDNING HÖGST 2-ÅRIG
84,GYMNASIAL UTBILDNING LÄNGRE ÄN 2 ÅR
85,EFTERGYMNASIAL UTBILDNING MINDRE ÄN 3 ÅR
86,EFTERGYMNASIAL UTBILDNING 3 ÅR ELLER LÄNGRE
87,FORSKARUTBILDNING (MOTSV)
89,OSPECIFICERAD NIVÅ
93,GYMNASIAL UTBILDNING HÖGST 2-ÅRIG
94,GYMNASIAL UTBILDLNING  LÄNGRE ÄN 2 ÅR
95,EFTERGYMNASIAL UTBILDNING MINDRE ÄN 3 ÅR
96,EFTERGYMNASIAL UTBILDNING 3 ÅR ELLER LÄNGRE
97,FORSKARUTBILDNING
99,OSPECIFICERAD NIVÅ
010,FÖRSKOLUTBILDNING
011,FOLKSKOLUTBILDNING
018,ANNAN HITHÖRANDE UTBILDNING KOR TARE ÄN 9 ÅR
019,OSPECIFICERAD HITHÖRANDE UTBILDNING KORTARE ÄN 9 ÅR
020,GRUNDSKOLUTBILDNING
021,FOLKSKOLUTBILDNING
022,ENHETSSKOLUTBILDNING
023,REALSKOLUTBILDNING
024,FOLKHÖGSKOLEUTBILDNING OM HÖGST 2 ÅR
025,FÖRBEREDANDE TEKNISK UTBILDNING
028,ANNAN HITHÖRANDE SKOLUTBILDNING 9 (10) ÅR ELLER MOTSVARANDE
029,OSPECIFICERAD HITHÖRANDE SKOLUT BILDNING 9 (10) ÅR ELLER MOTSVARANDE
030,"2-ÅRIG SOCIAL LINJE I GYMNASIE SKOLAN OCH FACKSKOLUTBILDNING, SOCIAL LINJE"
031,NORMALSKOLKOMPETENS (FLICKSKOL UTBILDNING)
034,"FOLKHÖGSKOLUTBILDNING, 1, 2 ELLER 3-ÅRIG SOM GER KOMPETENSMOTSVARANDE 2-ÅRIG GYMNASIESKOLA"
035,"AVGÅNGSBETYG 2 FRÅN KOMMUNAL VUXENUTBILDNING, KOMVUX"
038,ANNAN HITHÖRANDE HÖGST 2-ÅRIG UTBILDNING
039,OSPECIFICERAD HITHÖRANDE HÖGST 2-ÅRIG UTBILDNING
040,3-ÅRIGT GYMNASIUM OCH GYMNASIESKOLA INKL ÄLDRE 4-ÅRIGT GYMNASIUM
044,3-ÅRIG FOLKHÖGSKOLUTBILDNING ELLER MOTSV SOM KUNDE GE BEHÖRIGHET FÖR HÖGSKOLESTUDIER ENLIGT BESTÄMMELSERFÖRE 1977 ÅRS HÖGSKOLEFÖRORDNING.
045,"AVGÅNGSBETYG 3 FRÅN KOMMUNAL VUXEN-UTBILDNING, KOMVUX."
048,"ANNAN HITHÖRANDE UTBILDNING, LÄNGRE ÄN 2 ÅR"
049,"OSPECIFICERAD HITHÖRANDE UTBILD NING, LÄNGRE ÄN 2 ÅR"
099,OSPECIFICERAD ALLMÄN UTBILDNING
131,SCENISK UTBILDNING
132,BILDOCH FORMKONSTNÄRLIG UTBILDNING
133,MUSIKUTBILDNING
134,RELIGIÖS UTBILDNING
138,ANNAN HÖGST 2-ÅRIG HITHÖRANDE UTBILDNING
139,OSPECIFICERAD HÖGST 2-ÅRIG HIT HÖRANDE UTBILDNING
141,SCENISK UTBILDNING
142,BILDOCH FORMKONSTNÄRLIG UTBILDNING
143,MUSIKUTBILDNING/MUSIKTEKNIKER
144,RELIGIÖS UTBILDNING
145,ESTETISKA PROGRAMMET i gymnasieskolan
148,"ANNAN HITHÖRANDE UTBILDNING, LÄNGRE ÄN 2 ÅR"
149,OSPECIFICERAD HITHÖRANDE UTBILD NING LÄNGRE ÄN 2 ÅR
150,"HUMANISTISK, TEOLOGISK/SOCIAL TVÄRUTBILDNING"
151,SCENISK OCH BILDMEDIEKONSTNÄRLIG UTBILDNING
152,BILDOCH FORMKONSTNÄRLIG UTBILDNING
153,MUSIKUTBILDNING
154,TEOLOGISK UTBILDNING
155,"TOLK-, TECKENSPRÅKSTOLKOCH ÖVERSÄTTARUTBILDNING"
156,HÖGSKOLEEXAMEN
158,ANNAN HITHÖRANDE UTBLIDNING MINDRE ÄN 3 ÅR
159,OSPECIFICERAD HITHÖRANDE UTBILD NING MINDRE ÄN 3 ÅR
161,SCENISK OCH BILDMEDIEKONSTNÄRLIG UTBILDNING
162,BILDOCH FORMKONSTNÄRLIG UT BILDNING
163,MUSIKUTBILDNING
164,BIBLIOTEKARIEUTBILDNING
165,"TEOLOGISK-RELIGIONSVETENSKAPLIG UTBILDNING, TEOL. KAND OCH MOT SVARANDE"
166,KANDIDATEXAMEN F.O.M. 1993 samt FIL KAND-UTB. MED FÖRDJUPNINGSÄMNE F.O.M. 1986 (kod 1668). ÄLDRE FIL KAND-UTB (kod 1660-1667).KULTURVETARLINJEN MOTSV (kod 1666).
167,"MAGISTEREXAMEN, F.O.M. 1993 (kod 1678)  ÄLDRE FIL MAG-UTB (kod 1670-1677)"
168,ANNAN HITHÖRANDE UTBILDNING
169,OSPECIFICERAD HITHÖRANDE UTBILD NING 3 ÅR ELLER LÄNGRE
171,TONSÄTTAROCH DIRIGENTUTBILDNING
172,FIL DOKTORSEXAMEN I HUMANISTISKT ÄMNE ENLIGT NYA SYSTEMET FR O M 1969
173,FIL LIC UTBILDNING I HUMANISTISKT ÄMNE
174,FIL DOKTORSGRAD I HUMANISTISKT ÄMNE ENLIGT ÄLDRE SYSTEM
175,TEOL LIC UTBILDNING
176,TEOL DOKTORSGRAD
177,TEOL DOKTORSEXAMEN ENLIGT NYA SYSTEMET FR O M 1969
178,ANNAN HITHÖRANDE FORSKARUTBILD NING
179,OSPECIFICERAD HITHÖRANDE UTBILDNING
199,"OSPECIFICERAD UTBILDNING FÖR ESTETISK, HUMANISTISK OCH RELIGIÖS VERKSAMHET"
231,UTBILDNING AV TRAFIKPEDAGOGER
233,GYMNASTIKOCH IDROTTSINSTRUK TÖRSUTBILDNING
234,WALDORFPEDAGOGISK UTBILDNING
238,ANNAN HÖGST 2-ÅRIG HITHÖRANDE UTBILDNING
239,OSPECIFICERAD HÖGST 2-ÅRIG HIT HÖRANDE UTBILDNING
241,UTBILDNING AV TRAFIKPEDAGOGER
243,RIDINSTRUKTÖRSUTBILDNING
244,BARNOCH FRITIDSPROGRAMMET i gymnasieskolan
248,ANNAN HITHÖRANDE UTBILDNING LÄNGRE ÄN 2 ÅR
249,OSPECIFICERAD HITHÖRANDE UTBILD NING LÄNGRE ÄN 2 ÅR
250,UTBILDNING AV LÄRARE I TECKNING
251,SLÖJDLÄRARUTBILDNING
252,MUSIKPEDAGOGISK UTBILDNING Högst 2-årig utbildning på musikpedagoglinje
253,GYMNASTIKOCH IDROTTSLÄRARUT BILDNING.  FOLKHÖGSKOLLÄRARUTBILDNING.
254,"FÖRSKOLLÄRARUTBILDNING OCH FRI TIDSPEDAGOGUTBILDNING SAMT FRI TIDSLEDARUTBILDNING, UNGDOMS LEDARUTBILDNING, OCH HEMSPRÅKS LÄRARUTBILDNING"
256,UTBILDNING FÖR UNDERVISNING I MERKANTILA LÄROÄMNEN
257,UTBILDNING FÖR UNDERVISNING I TEKNISKA LÄROÄMNEN
258,UTBILDNING FÖR UNDERVISNING I YRKESÄMNEN. F.O.M. 1993 GYMNASIELÄRAREXAMEN I YRKESÄMNEN.
259,ANNAN ELLER OSPEC. UTBILDNING KORTARE ÄN 3 ÅR
260,BARNOCH UNGDOMSPEDAGOGISK UT BILDNING (yrkesexamen f.o.m. 1993 om minst 120 poäng)   LÅGSTADIELÄRARUTBILDNING (INKL SMÅSKOLLÄRARUTBILDNING) FÖR VANLIG UNDERVISNING
261,MELLANSTADIELÄRARUTBILDNING (INKL FOLKSKOLLÄRARUTBILDNING) FÖR VANLIG UNDERVISNING. GRUNDSKOLLÄRARUTBILDNING.
262,MUSIKPEDAGOGISK UTBILDNING
263,UTBILDNING FÖR SPECIALUNDER VISNING M M
264,"BARNAVÅRDSLÄRARHUSHÅLLSLÄRAR TECKNINGSLÄRAROCH TEXTILLÄRAR UTBILDNING ,IDROTTSLÄRARUTBILDNING SAMT TEKN MAG."
265,"UTBILDNING AV LÄRARE I LÄROÄMNEN, VIDAREUTBILDNING AV FOLKSKOLLÄRARE M FL TILL ÄMNESLÄRARE (FÖR GRUNDSKOLANS HÖGSTADIUM)"
266,UTBILDNING AV LÄRARE I LÄROÄMNEN: ADJUNKTUTBILDNING FÖR FOLKSKOL LÄRARE M FL (FÖR GRUNDSKOLANS HÖGSTADIUM)
